extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6500,0.8250,0.1750,1.2692
5,0.6425,0.8063,0.1638,1.2549
10,0.6375,0.7937,0.1562,1.2451
15,0.6362,0.7762,0.1400,1.2200
20,0.6362,0.7712,0.1350,1.2122
25,0.6337,0.7712,0.1375,1.2170
30,0.6312,0.7550,0.1238,1.1960
35,0.6300,0.7525,0.1225,1.1944
40,0.6300,0.7475,0.1175,1.1865
45,0.6287,0.7425,0.1138,1.1809
50,0.6262,0.7388,0.1125,1.1796
51,0.6250,0.7375,0.1125,1.1800
