extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6500,0.8000,0.1500,1.2308
5,0.6284,0.7675,0.1391,1.2214
10,0.6235,0.7525,0.1290,1.2069
15,0.6181,0.7361,0.1180,1.1909
20,0.6150,0.7281,0.1131,1.1839
25,0.6132,0.7226,0.1094,1.1784
30,0.6129,0.7199,0.1070,1.1746
35,0.6129,0.7173,0.1044,1.1703
40,0.6125,0.7160,0.1035,1.1690
45,0.6125,0.7135,0.1010,1.1649
50,0.6125,0.7131,0.1006,1.1643
51,0.6125,0.7125,0.1000,1.1633
