experiment,extra_docs,query_mode,relevance,n_probes,recall_at_1_mean,recall_at_1_std,recall_at_5_mean,recall_at_5_std,recall_at_10_mean,recall_at_10_std,mrr_mean,mrr_std
corpus_decay,0,first_sentence,relaxed_doc,80,0.5375,0.501737487466418,0.7625,0.4282360049661484,0.8,0.4025236843413021,0.6172371031746031,0.43360690435411203
corpus_decay,0,first_sentence,strict,80,0.4125,0.49539014161069383,0.6,0.49298881801065664,0.65,0.4799789024899355,0.4857936507936508,0.4545081557043554
corpus_decay,5,first_sentence,relaxed_doc,8000,0.52675,0.4993151329073091,0.722625,0.44773113279166643,0.7675,0.4224524331297929,0.5973097718253969,0.4417927366432899
corpus_decay,5,first_sentence,strict,8000,0.4105,0.49195528506187686,0.588375,0.4921586501242374,0.628375,0.4832691310301392,0.4792025793650794,0.4551273038369275
corpus_decay,10,first_sentence,relaxed_doc,8000,0.523625,0.4994727655292511,0.70625,0.45550727036916755,0.7525,0.4315866464328715,0.5908804563492064,0.4457094606425505
corpus_decay,10,first_sentence,strict,8000,0.4105,0.49195528506187686,0.5835,0.493009261846604,0.6235,0.4845380244492089,0.4772316964285714,0.4562651531916714
corpus_decay,15,first_sentence,relaxed_doc,8000,0.518625,0.49968422019810604,0.694375,0.46070043410685896,0.736125,0.44075987570728825,0.583293253968254,0.4491300263757513
corpus_decay,15,first_sentence,strict,8000,0.409125,0.4917031176121255,0.579,0.4937504163888984,0.618125,0.48587652122142544,0.4749292162698413,0.4568720328150566
corpus_decay,20,first_sentence,relaxed_doc,8000,0.512125,0.4998842064943519,0.68575,0.46424549323041153,0.728125,0.4449536294284413,0.5763704861111111,0.4506714203636058
corpus_decay,20,first_sentence,strict,8000,0.40675,0.4912581849959761,0.576375,0.4941633171816844,0.615,0.4866257294626661,0.4725546626984127,0.4568270219010192
corpus_decay,25,first_sentence,relaxed_doc,8000,0.510125,0.49992872038489966,0.677875,0.4673197864929924,0.722625,0.44773113279166643,0.5731721230158731,0.45204581328975857
corpus_decay,25,first_sentence,strict,8000,0.406125,0.491139121410189,0.5725,0.49474675015946207,0.61325,0.48703602331963225,0.47142534722222224,0.4571047885110631
corpus_decay,30,first_sentence,relaxed_doc,8000,0.5085,0.49995899319280107,0.670125,0.4701968949440244,0.719875,0.44908818109509396,0.5703786706349205,0.4530244406038885
corpus_decay,30,first_sentence,strict,8000,0.4055,0.4910192333156979,0.569875,0.49512435598643945,0.612875,0.48712308042930574,0.47056770833333333,0.4571665294500494
corpus_decay,35,first_sentence,relaxed_doc,8000,0.503875,0.5000162361409383,0.66025,0.473653862010672,0.71725,0.450364064922893,0.5657410218253969,0.45377189995957806
corpus_decay,35,first_sentence,strict,8000,0.402875,0.49050668596475017,0.567875,0.49540252556157965,0.612875,0.48712308042930574,0.46818869047619044,0.4567450830577125
corpus_decay,40,first_sentence,relaxed_doc,8000,0.503375,0.5000198614632545,0.654125,0.4756824240983416,0.716,0.45096498886016334,0.5642841269841269,0.45443819923680434
corpus_decay,40,first_sentence,strict,8000,0.402375,0.49040740390284215,0.565,0.4957879846423413,0.6125,0.4872098333138502,0.4675136904761905,0.4567970408757328
corpus_decay,45,first_sentence,relaxed_doc,8000,0.50225,0.500026190087926,0.64575,0.4783153099075562,0.7135,0.45215407264911,0.561971875,0.45544127838799836
corpus_decay,45,first_sentence,strict,8000,0.402125,0.4903575641229434,0.563375,0.49599834795102515,0.6125,0.4872098333138502,0.4668697916666667,0.4569198799510304
corpus_decay,50,first_sentence,relaxed_doc,8000,0.50025,0.5000311904260822,0.63875,0.4803928440980179,0.713125,0.4523309737224763,0.5596589285714285,0.4557887591611083
corpus_decay,50,first_sentence,strict,8000,0.40025,0.4899795378313636,0.5625,0.4961093786297993,0.6125,0.4872098333138502,0.46537559523809524,0.4565723000076345
corpus_decay,51,first_sentence,relaxed_doc,8000,0.5,0.5000312529299927,0.6375,0.4807521610248271,0.7125,0.45262496470017394,0.5592113095238095,0.45597333254722855
corpus_decay,51,first_sentence,strict,8000,0.4,0.48992857004921525,0.5625,0.4961093786297993,0.6125,0.4872098333138502,0.46513392857142855,0.45654201341246164
query_construction,0,domain_term,relaxed_doc,21,0.6666666666666666,0.48304589153964794,0.9047619047619048,0.30079260375911915,1.0,0.0,0.770748299319728,0.3461000265487784
query_construction,0,domain_term,strict,21,0.5238095238095238,0.511766315719159,0.6190476190476191,0.4976133515281193,0.7619047619047619,0.4364357804719847,0.5775510204081632,0.4661735559387295
query_construction,0,first_sentence,relaxed_doc,80,0.5375,0.501737487466418,0.7625,0.4282360049661484,0.8,0.4025236843413021,0.6172371031746031,0.43360690435411203
query_construction,0,first_sentence,strict,80,0.4125,0.49539014161069383,0.6,0.49298881801065664,0.65,0.4799789024899355,0.4857936507936508,0.4545081557043554
query_construction,0,random_window,relaxed_doc,78,0.6666666666666666,0.47445571459117775,0.8846153846153846,0.32155342230584855,0.9358974358974359,0.24652091345879923,0.7504426129426129,0.36933667679939897
query_construction,0,random_window,strict,78,0.5512820512820513,0.5005824113797354,0.7435897435897436,0.4394771815921654,0.8205128205128205,0.38624363966821407,0.6240537240537241,0.43501530386350484
query_construction,0,title,relaxed_doc,80,0.575,0.49746191254243755,0.85,0.3593242603145979,0.95,0.21932000780317518,0.7,0.375179282038449
query_construction,0,title,strict,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
