model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,0,1,0.7239671349525452,,0.6211274266242981,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,5,10,0.7239671349525452,0.0,0.6416722476482392,0.023397147953926924,0.63,0.3433495141818157,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,10,10,0.7239671349525452,0.0,0.6560779988765717,0.021214737126707323,0.38,0.2573367875415838,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,15,10,0.7239671349525452,0.0,0.6546790838241577,0.01874519383155588,0.38,0.2573367875415838,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,20,10,0.7239671349525452,0.0,0.6635910153388977,0.022548845861914826,0.27999999999999997,0.18737959096740261,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,25,10,0.7239671349525452,0.0,0.669408130645752,0.01881386855845628,0.21000000000000002,0.1370320319406298,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,30,10,0.7239671349525452,0.0,0.6743802726268768,0.015837968453078458,0.18,0.14757295747452437,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,35,10,0.7239671349525452,0.0,0.6715927839279174,0.015695236195107272,0.18,0.12292725943057184,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,40,10,0.7239671349525452,0.0,0.6835185110569,0.006668298916811623,0.11000000000000001,0.03162277660168379,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,45,10,0.7239671349525452,0.0,0.6873337864875794,0.001565578976643012,0.1,0.0,1.0,0.0
