series,0_IAEA_only,+5,+10,+15,+20,+25,+30,+35,+40,+45,+49
neutron measurement current(chinese),0.534,0.600,0.612,0.640,0.644,0.654,0.656,0.658,0.659,0.660,0.660
neutron measurement current(english),0.655,0.658,0.657,0.661,0.665,0.669,0.668,0.668,0.668,0.671,0.672
neutron(chinese),0.500,0.559,0.563,0.592,0.593,0.604,0.606,0.608,0.609,0.610,0.610
neutron(english),0.648,0.649,0.651,0.654,0.653,0.656,0.659,0.658,0.660,0.661,0.662
