scope,extra_docs,trial,query_tag,lang,query,pool_docs,pool_chunks,iaea_docs,extra_sampled,top1_score,top3_mean_score,top10_mean_score,max_score,iaea_count_topk,iaea_purity_topk,first_iaea_rank,retrieved_k,top_k
IAEA_only,0,0,core_term,zh,中子,13,5922,13,0,0.5198912024497986,0.5101060072580973,0.50028877556324,0.5198912024497986,10,1.0,1,10,10
IAEA_only,0,0,core_term,en,neutron,13,5922,13,0,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_only,0,0,phrase,zh,中子测量电流,13,5922,13,0,0.5450960993766785,0.5396697918574015,0.5343578100204468,0.5450960993766785,10,1.0,1,10,10
IAEA_only,0,0,phrase,en,neutron measurement current,13,5922,13,0,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,0,core_term,zh,中子,18,8359,13,5,0.610377311706543,0.6077803174654642,0.6039786517620087,0.610377311706543,0,0.0,0,10,10
IAEA_plus_5,5,0,core_term,en,neutron,18,8359,13,5,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,0,phrase,zh,中子测量电流,18,8359,13,5,0.6584351062774658,0.6575429240862528,0.6561094880104065,0.6584351062774658,0,0.0,0,10,10
IAEA_plus_5,5,0,phrase,en,neutron measurement current,18,8359,13,5,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,1,core_term,zh,中子,18,6315,13,5,0.616506814956665,0.6122973561286926,0.6075209081172943,0.616506814956665,0,0.0,0,10,10
IAEA_plus_5,5,1,core_term,en,neutron,18,6315,13,5,0.6627007722854614,0.6592724720637003,0.6489282548427582,0.6627007722854614,9,0.9,1,10,10
IAEA_plus_5,5,1,phrase,zh,中子测量电流,18,6315,13,5,0.6597024202346802,0.6588231126467387,0.6573557317256927,0.6597024202346802,0,0.0,0,10,10
IAEA_plus_5,5,1,phrase,en,neutron measurement current,18,6315,13,5,0.6875819563865662,0.6794215242067972,0.6663969695568085,0.6875819563865662,6,0.6,1,10,10
IAEA_plus_5,5,2,core_term,zh,中子,18,6326,13,5,0.5294044613838196,0.5232489903767904,0.5176590383052826,0.5294044613838196,1,0.1,3,10,10
IAEA_plus_5,5,2,core_term,en,neutron,18,6326,13,5,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,2,phrase,zh,中子测量电流,18,6326,13,5,0.565193772315979,0.5607868432998657,0.5520506978034974,0.565193772315979,1,0.1,9,10,10
IAEA_plus_5,5,2,phrase,en,neutron measurement current,18,6326,13,5,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,3,core_term,zh,中子,18,8509,13,5,0.5729312300682068,0.5691311160723368,0.5629186689853668,0.5729312300682068,0,0.0,0,10,10
IAEA_plus_5,5,3,core_term,en,neutron,18,8509,13,5,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,3,phrase,zh,中子测量电流,18,8509,13,5,0.608427107334137,0.6052219669024149,0.596989107131958,0.608427107334137,0,0.0,0,10,10
IAEA_plus_5,5,3,phrase,en,neutron measurement current,18,8509,13,5,0.6875819563865662,0.6767021616299947,0.6623981773853302,0.6875819563865662,6,0.6,1,10,10
IAEA_plus_5,5,4,core_term,zh,中子,18,6196,13,5,0.523758590221405,0.5212036371231079,0.5162974119186401,0.523758590221405,1,0.1,3,10,10
IAEA_plus_5,5,4,core_term,en,neutron,18,6196,13,5,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,4,phrase,zh,中子测量电流,18,6196,13,5,0.5672224760055542,0.5625325640042623,0.5476285636425018,0.5672224760055542,3,0.3,5,10,10
IAEA_plus_5,5,4,phrase,en,neutron measurement current,18,6196,13,5,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,5,core_term,zh,中子,18,6603,13,5,0.5344225168228149,0.5289560755093893,0.521826034784317,0.5344225168228149,1,0.1,6,10,10
IAEA_plus_5,5,5,core_term,en,neutron,18,6603,13,5,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,5,phrase,zh,中子测量电流,18,6603,13,5,0.565193772315979,0.5639485716819763,0.5588357746601105,0.565193772315979,0,0.0,0,10,10
IAEA_plus_5,5,5,phrase,en,neutron measurement current,18,6603,13,5,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,6,core_term,zh,中子,18,7476,13,5,0.616506814956665,0.6122973561286926,0.6075209081172943,0.616506814956665,0,0.0,0,10,10
IAEA_plus_5,5,6,core_term,en,neutron,18,7476,13,5,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,6,phrase,zh,中子测量电流,18,7476,13,5,0.6597024202346802,0.6588231126467387,0.6573557317256927,0.6597024202346802,0,0.0,0,10,10
IAEA_plus_5,5,6,phrase,en,neutron measurement current,18,7476,13,5,0.6875819563865662,0.6750429272651672,0.6554731369018555,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,7,core_term,zh,中子,18,8203,13,5,0.6118993759155273,0.6109312971433004,0.6052162766456604,0.6118993759155273,0,0.0,0,10,10
IAEA_plus_5,5,7,core_term,en,neutron,18,8203,13,5,0.6659508943557739,0.6649967829386393,0.6580065310001373,0.6659508943557739,6,0.6,4,10,10
IAEA_plus_5,5,7,phrase,zh,中子测量电流,18,8203,13,5,0.6658470630645752,0.6609513362248739,0.6545957267284394,0.6658470630645752,0,0.0,0,10,10
IAEA_plus_5,5,7,phrase,en,neutron measurement current,18,8203,13,5,0.6875819563865662,0.6763536334037781,0.6581911563873291,0.6875819563865662,9,0.9,1,10,10
IAEA_plus_5,5,8,core_term,zh,中子,18,6765,13,5,0.5344225168228149,0.5265209476153055,0.5166826367378234,0.5344225168228149,2,0.2,4,10,10
IAEA_plus_5,5,8,core_term,en,neutron,18,6765,13,5,0.6627007722854614,0.6592724720637003,0.6482249855995178,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,8,phrase,zh,中子测量电流,18,6765,13,5,0.5635771751403809,0.562203605969747,0.5512909412384033,0.5635771751403809,2,0.2,7,10,10
IAEA_plus_5,5,8,phrase,en,neutron measurement current,18,6765,13,5,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,9,core_term,zh,中子,18,6599,13,5,0.5367110371589661,0.5347284078598022,0.5300529599189758,0.5367110371589661,0,0.0,0,10,10
IAEA_plus_5,5,9,core_term,en,neutron,18,6599,13,5,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_5,5,9,phrase,zh,中子测量电流,18,6599,13,5,0.577104926109314,0.5755274693171183,0.570393705368042,0.577104926109314,0,0.0,0,10,10
IAEA_plus_5,5,9,phrase,en,neutron measurement current,18,6599,13,5,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_10,10,0,core_term,zh,中子,23,9266,13,10,0.6118993759155273,0.6109312971433004,0.6052162766456604,0.6118993759155273,0,0.0,0,10,10
IAEA_plus_10,10,0,core_term,en,neutron,23,9266,13,10,0.6659508943557739,0.6649967829386393,0.6580065250396728,0.6659508943557739,6,0.6,4,10,10
IAEA_plus_10,10,0,phrase,zh,中子测量电流,23,9266,13,10,0.6658470630645752,0.6629343231519064,0.6559501469135285,0.6658470630645752,0,0.0,0,10,10
IAEA_plus_10,10,0,phrase,en,neutron measurement current,23,9266,13,10,0.6875819563865662,0.6763536334037781,0.6581911623477936,0.6875819563865662,9,0.9,1,10,10
IAEA_plus_10,10,1,core_term,zh,中子,23,9290,13,10,0.610377311706543,0.6077803174654642,0.6039786517620087,0.610377311706543,0,0.0,0,10,10
IAEA_plus_10,10,1,core_term,en,neutron,23,9290,13,10,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_10,10,1,phrase,zh,中子测量电流,23,9290,13,10,0.6584351062774658,0.6575429240862528,0.6561094880104065,0.6584351062774658,0,0.0,0,10,10
IAEA_plus_10,10,1,phrase,en,neutron measurement current,23,9290,13,10,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_10,10,2,core_term,zh,中子,23,10257,13,10,0.5223899483680725,0.5213959018389384,0.516729336977005,0.5223899483680725,1,0.1,3,10,10
IAEA_plus_10,10,2,core_term,en,neutron,23,10257,13,10,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_10,10,2,phrase,zh,中子测量电流,23,10257,13,10,0.5773026943206787,0.5758916735649109,0.5715895533561707,0.5773026943206787,0,0.0,0,10,10
IAEA_plus_10,10,2,phrase,en,neutron measurement current,23,10257,13,10,0.6875819563865662,0.6750429471333822,0.6567836880683899,0.6875819563865662,9,0.9,1,10,10
IAEA_plus_10,10,3,core_term,zh,中子,23,10060,13,10,0.610377311706543,0.6077803174654642,0.6039786517620087,0.610377311706543,0,0.0,0,10,10
IAEA_plus_10,10,3,core_term,en,neutron,23,10060,13,10,0.6627007722854614,0.6592724720637003,0.6495534777641296,0.6627007722854614,9,0.9,1,10,10
IAEA_plus_10,10,3,phrase,zh,中子测量电流,23,10060,13,10,0.6584351062774658,0.6575429240862528,0.6561094880104065,0.6584351062774658,0,0.0,0,10,10
IAEA_plus_10,10,3,phrase,en,neutron measurement current,23,10060,13,10,0.6875819563865662,0.6750429471333822,0.6572374522686004,0.6875819563865662,9,0.9,1,10,10
IAEA_plus_10,10,4,core_term,zh,中子,23,9474,13,10,0.529419481754303,0.5287004907925924,0.5269154250621796,0.529419481754303,0,0.0,0,10,10
IAEA_plus_10,10,4,core_term,en,neutron,23,9474,13,10,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_10,10,4,phrase,zh,中子测量电流,23,9474,13,10,0.5868567824363708,0.5855752825737,0.5835032224655151,0.5868567824363708,0,0.0,0,10,10
IAEA_plus_10,10,4,phrase,en,neutron measurement current,23,9474,13,10,0.6875819563865662,0.6750429471333822,0.65547314286232,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_10,10,5,core_term,zh,中子,23,8837,13,10,0.6118993759155273,0.6109312971433004,0.6052162766456604,0.6118993759155273,0,0.0,0,10,10
IAEA_plus_10,10,5,core_term,en,neutron,23,8837,13,10,0.6692609786987305,0.6669779022534689,0.6615161418914794,0.6692609786987305,4,0.4,5,10,10
IAEA_plus_10,10,5,phrase,zh,中子测量电流,23,8837,13,10,0.6658470630645752,0.6609513362248739,0.6545957267284394,0.6658470630645752,0,0.0,0,10,10
IAEA_plus_10,10,5,phrase,en,neutron measurement current,23,8837,13,10,0.6875819563865662,0.6763536334037781,0.6581911563873291,0.6875819563865662,9,0.9,1,10,10
IAEA_plus_10,10,6,core_term,zh,中子,23,9020,13,10,0.5729312300682068,0.5691311160723368,0.5629186689853668,0.5729312300682068,0,0.0,0,10,10
IAEA_plus_10,10,6,core_term,en,neutron,23,9020,13,10,0.6627007722854614,0.6592724720637003,0.6495534777641296,0.6627007722854614,9,0.9,1,10,10
IAEA_plus_10,10,6,phrase,zh,中子测量电流,23,9020,13,10,0.608427107334137,0.6052219669024149,0.596989107131958,0.608427107334137,0,0.0,0,10,10
IAEA_plus_10,10,6,phrase,en,neutron measurement current,23,9020,13,10,0.6875819563865662,0.6767021814982096,0.6628519475460053,0.6875819563865662,6,0.6,1,10,10
IAEA_plus_10,10,7,core_term,zh,中子,23,7983,13,10,0.543006420135498,0.5398096243540446,0.5374003112316131,0.543006420135498,0,0.0,0,10,10
IAEA_plus_10,10,7,core_term,en,neutron,23,7983,13,10,0.6692609786987305,0.6639235814412435,0.653529417514801,0.6692609786987305,8,0.8,2,10,10
IAEA_plus_10,10,7,phrase,zh,中子测量电流,23,7983,13,10,0.5811205506324768,0.5795655846595764,0.57646404504776,0.5811205506324768,0,0.0,0,10,10
IAEA_plus_10,10,7,phrase,en,neutron measurement current,23,7983,13,10,0.6875820755958557,0.675042986869812,0.6567836999893188,0.6875820755958557,9,0.9,1,10,10
IAEA_plus_10,10,8,core_term,zh,中子,23,8772,13,10,0.5405981540679932,0.532891054948171,0.5282719492912292,0.5405981540679932,0,0.0,0,10,10
IAEA_plus_10,10,8,core_term,en,neutron,23,8772,13,10,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
IAEA_plus_10,10,8,phrase,zh,中子测量电流,23,8772,13,10,0.5868567824363708,0.5855752825737,0.5835032224655151,0.5868567824363708,0,0.0,0,10,10
IAEA_plus_10,10,8,phrase,en,neutron measurement current,23,8772,13,10,0.6875819563865662,0.6750429471333822,0.6567836880683899,0.6875819563865662,9,0.9,1,10,10
IAEA_plus_10,10,9,core_term,zh,中子,23,8964,13,10,0.5996587872505188,0.5677713553110758,0.5416652500629425,0.5996587872505188,0,0.0,0,10,10
IAEA_plus_10,10,9,core_term,en,neutron,23,8964,13,10,0.6627007722854614,0.6592724720637003,0.6482249796390533,0.6627007722854614,10,1.0,1,10,10
