model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,0,1,0.7392836809158325,,0.6422367095947266,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,5,10,0.7392836809158325,0.0,0.6592519760131836,0.016386107573855776,0.6,0.24037008503093263,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,10,10,0.7392836809158325,0.0,0.6696250557899475,0.01794283095323664,0.49000000000000005,0.2726414006223804,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,15,10,0.7392836809158325,0.0,0.6816250920295716,0.016390552688875907,0.32999999999999996,0.17029386365926402,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,20,10,0.7392836809158325,0.0,0.6817893505096435,0.020686142120171853,0.35,0.22236106773543887,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,25,10,0.7392836809158325,0.0,0.6857090651988983,0.016177555979349112,0.27,0.13374935098492585,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,30,10,0.7392836809158325,0.0,0.6870942950248718,0.013093466486971442,0.25,0.097182531580755,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,35,10,0.7392836809158325,0.0,0.6967470705509186,0.008835141430206653,0.2,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,40,10,0.7392836809158325,0.0,0.6956588804721833,0.008776784635046633,0.2,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,45,10,0.7392836809158325,0.0,0.7011062622070312,0.0010258069576699815,0.2,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,50,10,0.7392836809158325,0.0,0.7016846537590027,0.0,0.2,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_core,neutron,baseline,en,51,10,0.7392836809158325,0.0,0.7016846537590027,0.0,0.2,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,0,1,0.7324945330619812,,0.7057719826698303,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,5,10,0.7469291925430298,0.02200959279765263,0.7131057918071747,0.0053521565191026,0.78,0.20439612955674522,1.4,0.5163977794943222
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.7382493495941163,0.014414512185561532,0.7133610069751739,0.006249948784951678,0.7100000000000001,0.19119507199599983,1.3,0.48304589153964794
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,15,10,0.7445701241493226,0.01818484418266553,0.7190194666385651,0.005845122661106264,0.5700000000000001,0.2162817093001111,1.7,0.48304589153964794
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,20,10,0.7521180510520935,0.023001740695117377,0.7194649279117584,0.008261585990817204,0.5900000000000001,0.18529256146249728,1.8,0.7888106377466155
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,25,10,0.7469291925430298,0.02200959279765261,0.7198929131031037,0.007320741356963727,0.52,0.1686548085423136,1.6,0.8432740427115678
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,30,10,0.770043694972992,0.01834727460507455,0.7266956567764282,0.006521183919176539,0.44000000000000006,0.12649110640673517,2.5,0.7071067811865475
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,35,10,0.7706096529960632,0.017105571358778677,0.7287560343742371,0.0036389892167028644,0.37,0.09486832980505139,2.5,0.52704627669473
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,40,10,0.770043694972992,0.01834727460507457,0.7277569234371185,0.0036628671762330223,0.37,0.04830458915396482,2.3,0.6749485577105528
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,45,10,0.7746665954589844,0.012829178519084024,0.731030535697937,0.001963860168696139,0.32999999999999996,0.048304589153964815,2.9,0.31622776601683805
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,50,10,0.7787235379219055,0.0,0.731510192155838,0.0013822652829196967,0.31,0.03162277660168379,2.9,0.31622776601683805
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_en_phrase,neutron measurement current,baseline,en,51,10,0.7787235379219055,0.0,0.7319473028182983,0.0,0.3,0.0,3.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,0,1,0.7712782621383667,,0.7712782621383667,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,5,10,0.7761152386665344,0.01352101146675099,0.7744111597537995,0.009720562594412384,0.89,0.3142893217686178,2.1,3.1428932176861784
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,10,10,0.785254180431366,0.02015515904899784,0.7784661054611206,0.013715524516361021,0.45,0.46726152562920625,4.5,4.527692569068709
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,15,10,0.7933231234550476,0.022166908637181616,0.7827889502048493,0.016349554738023436,0.42000000000000004,0.3938414796731181,5.8,4.211096452627668
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,20,10,0.806229043006897,0.01705750665938782,0.790013974905014,0.01576954582501698,0.18,0.24855135843076334,8.6,2.836272984824353
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,25,10,0.8062290191650391,0.017057494128009398,0.7838180065155029,0.013902561700803999,0.4,0.3771236166328254,5.8,4.211096452627668
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,30,10,0.802997088432312,0.01819622320921542,0.7938195288181304,0.017291067786739306,0.16999999999999998,0.30203016773531455,8.5,3.719318934070233
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,35,10,0.8142979979515076,5.7583557532274434e-08,0.799064427614212,0.014058600468498965,0.11000000000000001,0.19119507199599983,9.7,2.1108186931983415
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,40,10,0.8142979741096497,6.282881219407345e-08,0.7954066574573517,0.015132189623210238,0.06999999999999999,0.12516655570345725,10.0,1.6329931618554518
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,45,10,0.8142980337142944,0.0,0.809277606010437,0.0019496010685096355,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,50,10,0.8142980337142944,0.0,0.8101234912872315,0.0012887194644274182,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_core,中子,baseline,zh,51,10,0.8142980337142944,0.0,0.8105310201644897,0.0,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,0,1,0.6443514227867126,,0.6189977526664734,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,5,10,0.6529763400554657,0.014202201062334677,0.6249680101871491,0.008323832568336508,0.76,0.24129281427805144,1.4,0.6992058987801011
