model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,trial,top1_score,top10_mean_score,iaea_priority_top10,first_iaea_rank
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,0,0,0.2713421583175659,0.2197151631116867,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,0,0.2713421583175659,0.21980273723602295,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,1,0.2713421583175659,0.22847327589988708,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,2,0.2713421583175659,0.2197151631116867,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,3,0.2713421583175659,0.21972787380218506,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,4,0.2713421583175659,0.2197151631116867,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,5,0.2713421583175659,0.2197151631116867,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,6,0.2713421583175659,0.22847327589988708,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,7,0.2713421583175659,0.2197151631116867,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,8,0.2713421583175659,0.2197151929140091,1.0,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,9,0.2713421583175659,0.22375325858592987,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,0,0.2713421583175659,0.22561700642108917,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,1,0.2713421583175659,0.22847327589988708,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,2,0.2713421583175659,0.22008195519447327,0.8,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,3,0.2713421583175659,0.21972408890724182,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,4,0.2713421583175659,0.21972787380218506,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,5,0.2713421583175659,0.22000887989997864,0.9,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,6,0.2713421881198883,0.22847327589988708,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,7,0.2713421583175659,0.22847327589988708,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,8,0.2713421583175659,0.23315374553203583,0.6,1
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,9,0.2713421583175659,0.2197151631116867,1.0,1
