model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,0,1,0.5155993103981018,,0.46243804693222046,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,5,10,0.5442058622837067,0.04014631289858217,0.4958337783813477,0.04151445165027002,0.5,0.3265986323710904,3.7,4.056544780420347
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,10,10,0.5254356324672699,0.013189549277275258,0.47921224534511564,0.016757677972823258,0.5599999999999999,0.2270584848790187,2.0,1.4907119849998598
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,15,10,0.5772774279117584,0.029145492417154348,0.521482315659523,0.035456893860791726,0.24,0.19550504398153576,5.8,3.823901439919996
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,20,10,0.5684184908866883,0.02764207177530246,0.5292553603649139,0.022781192516775087,0.16,0.11737877907772673,7.2,2.485513584307633
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,25,10,0.5843003034591675,0.029102058011610404,0.5373286426067352,0.028542798589663458,0.13999999999999999,0.1349897115421106,7.7,3.0568684048294332
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,30,10,0.5882523655891418,0.030531259171731488,0.5445568859577179,0.03030232293616062,0.09,0.1286683937707919,9.0,2.8674417556808756
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,35,10,0.6117890775203705,0.012497498936571734,0.565516185760498,0.01778711687413914,0.03,0.09486832980505139,10.4,1.8973665961010275
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,40,10,0.6157411336898804,0.0,0.5707126915454864,0.001749393500059624,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,45,10,0.6078370213508606,0.016663331915428986,0.5645303964614868,0.014987937084033754,0.02,0.0421637021355784,10.8,0.42163702135578385
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,50,10,0.6157411336898804,0.0,0.5723400115966797,0.0,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_core,neutron,baseline,en,51,10,0.6157411336898804,0.0,0.5723400115966797,0.0,0.0,0.0,11.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,0,1,0.5845520496368408,,0.5379105806350708,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,5,10,0.5958003401756287,0.023754022941733458,0.5481892168521881,0.011928001423229554,0.74,0.2590581230363393,1.3,0.6749485577105528
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.5987581431865692,0.02338334304982165,0.550910884141922,0.015294162250554924,0.65,0.291547594742265,1.5,0.8498365855987975
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,15,10,0.6206483840942383,0.02653671057382026,0.5641254544258117,0.010667436962596585,0.42000000000000004,0.2250925735484551,2.0,0.9428090415820635
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,20,10,0.6188854932785034,0.02963623523942114,0.5664914309978485,0.01310747528440769,0.38,0.19888578520235065,2.2,1.3165611772087666
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,25,10,0.6318966746330261,0.019135813946961743,0.574297446012497,0.010149467472801498,0.24,0.14298407059684812,2.7,0.9486832980505138
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,30,10,0.6342687368392944,0.018968898593711963,0.5797065913677215,0.01302312158516284,0.2,0.1632993161855452,3.4,1.3498971154211057
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,35,10,0.6372293591499328,0.018601116055243845,0.5821447432041168,0.01209958572687069,0.18,0.13165611772087668,3.6,1.3498971154211057
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,40,10,0.6395985901355743,0.00741903403530211,0.5841740429401397,0.007912259855934928,0.14,0.051639777949432225,3.7,1.0593499054713802
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,45,10,0.6437363624572754,0.0,0.5881920099258423,0.008487906865856305,0.14,0.0699205898780101,4.2,1.1352924243950935
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,50,10,0.6437363624572754,0.0,0.5942387580871582,0.0,0.1,0.0,5.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_en_phrase,neutron measurement current,baseline,en,51,10,0.6437363624572754,0.0,0.5942387580871582,0.0,0.1,0.0,5.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,0,1,0.2713421583175659,,0.2197151631116867,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,5,10,0.2713421583175659,0.0,0.2218806266784668,0.0036943019259403007,0.8800000000000001,0.16193277068654824,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,10,10,0.27134216129779815,9.42432182895947e-09,0.22434485405683519,0.005070848444119623,0.77,0.15670212364724215,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,15,10,0.2713421583175659,0.0,0.22648608982563018,0.00470259660368447,0.71,0.1197218999737865,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,20,10,0.2713421583175659,0.0,0.2233590766787529,0.0028034942862254757,0.73,0.09486832980505142,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,25,10,0.2713421583175659,0.0,0.2264571338891983,0.004769649029306692,0.6699999999999999,0.06749485577105528,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,1500,150,baseline_zh_core,中子,baseline,zh,30,10,0.2713421583175659,0.0,0.2272021070122719,0.0039483463324208445,0.65,0.05270462766947298,1.0,0.0
