extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.7500,0.8875,0.1375,1.1833
5,0.7450,0.8688,0.1238,1.1661
10,0.7450,0.8562,0.1112,1.1493
15,0.7425,0.8525,0.1100,1.1481
20,0.7388,0.8525,0.1138,1.1540
25,0.7362,0.8512,0.1150,1.1562
30,0.7338,0.8500,0.1162,1.1584
35,0.7312,0.8500,0.1188,1.1624
40,0.7263,0.8500,0.1237,1.1704
45,0.7250,0.8500,0.1250,1.1724
50,0.7250,0.8500,0.1250,1.1724
51,0.7250,0.8500,0.1250,1.1724
