experiment,extra_docs,query_mode,relevance,n_probes,recall_at_1_mean,recall_at_1_std,recall_at_1_sem,recall_at_5_mean,recall_at_5_std,recall_at_5_sem,recall_at_10_mean,recall_at_10_std,recall_at_10_sem,mrr_mean,mrr_std,mrr_sem
corpus_decay,0,first_sentence,relaxed_doc,80,0.5875,0.49539014161069383,0.055386301601237926,0.7875,0.41165765548141536,0.04602472505573168,0.8625,0.34654716375821165,0.03874515077865563,0.6668154761904762,0.4152920740649808,0.04643106540630872
corpus_decay,0,first_sentence,strict,80,0.4625,0.501737487466418,0.056095956441742964,0.625,0.4871773518462232,0.05446808379132438,0.65,0.4799789024899355,0.05366327268666194,0.5301388888888889,0.4609689806878882,0.05153789881684529
corpus_decay,5,first_sentence,relaxed_doc,800,0.55625,0.4971366699266231,0.01757643552408068,0.75875,0.4281092552351824,0.015135947873275997,0.83625,0.37028005840453393,0.01309137701179984,0.6379484126984127,0.4223410712758611,0.01493201177363762
corpus_decay,5,first_sentence,strict,800,0.45125,0.4979290654227176,0.017604450935514184,0.615,0.4868997218873384,0.01721450475521905,0.63125,0.4827678204484799,0.017068419978888485,0.5181974206349207,0.4596268666170932,0.01625026371002357
corpus_decay,10,first_sentence,relaxed_doc,800,0.53375,0.49917171695094537,0.017648385301627267,0.74125,0.43822195929347124,0.015493485954063435,0.81375,0.3895518268244006,0.013772736918557064,0.6175039682539682,0.427844583001108,0.015126590296700706
corpus_decay,10,first_sentence,strict,800,0.44625,0.4974135229021799,0.017586223754901074,0.6125,0.4874841546155645,0.017235167572482852,0.62375,0.4847470083224826,0.01713839483723596,0.5127167658730158,0.45994810303413786,0.016261621132466385
corpus_decay,15,first_sentence,relaxed_doc,800,0.52375,0.49974805917913945,0.017668762076519278,0.735,0.4416092995701444,0.015613246518054529,0.795,0.4039541727933336,0.014281936743538427,0.6052276785714286,0.4327683390011991,0.015300671359529325
corpus_decay,15,first_sentence,strict,800,0.44125,0.49684706777936327,0.017566196541971998,0.60625,0.4888861826893154,0.01728473675040101,0.62,0.485690095210652,0.017171737993929594,0.5068333333333332,0.4603369323852378,0.016275368326010745
corpus_decay,20,first_sentence,relaxed_doc,800,0.52125,0.4998607440621017,0.017672746088763267,0.7325,0.44293225919184415,0.015660020204041523,0.79125,0.4066695989416706,0.014377941555703445,0.6044399801587301,0.4324151306855613,0.015288183559771377
corpus_decay,20,first_sentence,strict,800,0.4425,0.4969934638694066,0.01757137242537244,0.60625,0.4888861826893154,0.01728473675040101,0.615,0.4868997218873384,0.01721450475521905,0.5079618055555556,0.46087884184116573,0.01629452771856453
