extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6500,0.8625,0.2125,1.3269
5,0.6312,0.8363,0.2050,1.3248
10,0.6238,0.8137,0.1900,1.3046
15,0.6200,0.7950,0.1750,1.2823
20,0.6150,0.7913,0.1763,1.2866
25,0.6150,0.7913,0.1763,1.2866
30,0.6138,0.7775,0.1638,1.2668
35,0.6125,0.7700,0.1575,1.2571
40,0.6138,0.7562,0.1425,1.2322
45,0.6125,0.7537,0.1412,1.2306
50,0.6125,0.7388,0.1262,1.2061
51,0.6125,0.7375,0.1250,1.2041
