relevance,0_IAEA_only,+5,+10,+15,+20,+25,+30,+35,+40,+45,+50,+51
relaxed_doc,0.8625,0.8363,0.8137,0.7950,0.7913,0.7913,0.7775,0.7700,0.7562,0.7537,0.7388,0.7375
strict,0.6500,0.6312,0.6238,0.6200,0.6150,0.6150,0.6138,0.6125,0.6138,0.6125,0.6125,0.6125
