extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6500,0.8375,0.1875,1.2885
5,0.6462,0.8337,0.1875,1.2901
10,0.6438,0.8287,0.1850,1.2874
15,0.6375,0.8075,0.1700,1.2667
20,0.6337,0.8113,0.1775,1.2801
25,0.6350,0.7925,0.1575,1.2480
30,0.6287,0.7850,0.1562,1.2485
35,0.6300,0.7775,0.1475,1.2341
40,0.6275,0.7750,0.1475,1.2351
45,0.6262,0.7700,0.1438,1.2295
49,0.6250,0.7625,0.1375,1.2200
