extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6750,0.8500,0.1750,1.2593
5,0.6750,0.8313,0.1562,1.2315
10,0.6750,0.8275,0.1525,1.2259
15,0.6750,0.8238,0.1488,1.2204
20,0.6750,0.8225,0.1475,1.2185
25,0.6750,0.8137,0.1387,1.2056
30,0.6750,0.8137,0.1387,1.2056
35,0.6750,0.8100,0.1350,1.2000
40,0.6750,0.8113,0.1362,1.2019
45,0.6750,0.8050,0.1300,1.1926
49,0.6750,0.8000,0.1250,1.1852
