extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6500,0.7625,0.1125,1.1731
5,0.6475,0.7600,0.1125,1.1737
10,0.6450,0.7537,0.1087,1.1686
15,0.6425,0.7488,0.1063,1.1654
20,0.6400,0.7450,0.1050,1.1641
25,0.6375,0.7400,0.1025,1.1608
30,0.6325,0.7350,0.1025,1.1621
35,0.6325,0.7250,0.0925,1.1462
40,0.6300,0.7213,0.0913,1.1448
45,0.6275,0.7188,0.0912,1.1454
49,0.6250,0.7125,0.0875,1.1400
