experiment,extra_docs,query_mode,relevance,n_probes,recall_at_1_mean,recall_at_1_std,recall_at_1_sem,recall_at_5_mean,recall_at_5_std,recall_at_5_sem,recall_at_10_mean,recall_at_10_std,recall_at_10_sem,mrr_mean,mrr_std,mrr_sem
corpus_decay,0,first_sentence,relaxed_doc,80,0.525,0.5025252685881778,0.05618403304872527,0.7,0.4611488131266319,0.05155800469472481,0.7625,0.4282360049661484,0.04787824087586227,0.6042162698412699,0.4403127932538719,0.04922846685392342
corpus_decay,0,first_sentence,strict,80,0.45,0.5006325113218328,0.055972416353102565,0.6,0.49298881801065664,0.05511782546095504,0.65,0.4799789024899355,0.05366327268666194,0.5093204365079365,0.4631606521980588,0.05178293514089984
corpus_decay,5,first_sentence,relaxed_doc,800,0.52375,0.49974805917913945,0.017668762076519278,0.6975,0.45962791720896085,0.016250300854055263,0.76,0.427350307542531,0.015109115020274013,0.6007460317460318,0.4393966152044834,0.015535016312075314
corpus_decay,5,first_sentence,strict,800,0.44875,0.49767764798273495,0.01759556198667817,0.59875,0.49045807558330723,0.01734031155663304,0.6475,0.4780474994858836,0.016901531430787042,0.5074002976190477,0.46086667238192874,0.01629409746320704
corpus_decay,10,first_sentence,relaxed_doc,800,0.52125,0.4998607440621017,0.017672746088763267,0.695,0.4606954529572322,0.01628804394239335,0.75375,0.4310953972752898,0.015241523937583304,0.5968045634920636,0.4410276459154282,0.015592681955876942
corpus_decay,10,first_sentence,strict,800,0.44625,0.4974135229021799,0.017586223754901074,0.5975,0.4907084097804791,0.017349162207052196,0.645,0.4788126741965108,0.016928584442120892,0.5055843253968254,0.4606794470207382,0.016287478047081642
corpus_decay,15,first_sentence,relaxed_doc,800,0.52,0.4999123828113384,0.01767457179425113,0.69,0.4627825727456105,0.016361834770168896,0.74875,0.4340033249960587,0.015344334708111107,0.5932212301587302,0.44312256428884106,0.01566674850527057
corpus_decay,15,first_sentence,strict,800,0.445,0.49727668870701575,0.017581385935536133,0.59625,0.4909554297923114,0.017357895683324964,0.6425,0.47956357923967335,0.016955132944523263,0.5040287698412699,0.46091432148773,0.016295782113498514
corpus_decay,20,first_sentence,relaxed_doc,800,0.5125,0.500156421089389,0.017683199850315065,0.68625,0.46430637839283484,0.01641570943548703,0.745,0.43613388535797903,0.015419661392093163,0.5854017857142857,0.4443036645762343,0.015708506706394426
corpus_decay,20,first_sentence,strict,800,0.4375,0.49638871078041025,0.017549991174863798,0.59375,0.4914395471832416,0.01737501181782582,0.64,0.4803002815432896,0.0169811793042534,0.4985044642857143,0.4597957334568713,0.016256234054399802
corpus_decay,25,first_sentence,relaxed_doc,800,0.51125,0.5001861355663169,0.01768425041572182,0.68,0.4667679727932626,0.016502739940140693,0.74,0.438908647671986,0.015517764054513924,0.582593253968254,0.44578842007954655,0.01576100074063423
corpus_decay,25,first_sentence,strict,800,0.43625,0.49622952570128487,0.017544363132418136,0.5925,0.4916766543324173,0.01738339482147832,0.6375,0.4810228463632515,0.017006725828455495,0.4974176587301587,0.4598044444583448,0.01625654203481044
corpus_decay,30,first_sentence,relaxed_doc,800,0.5075,0.5002565049186185,0.01768673834803183,0.67125,0.4700527890893355,0.016618875734035955,0.735,0.4416092995701444,0.015613246518054529,0.5769593253968254,0.4476500606644396,0.01582681967471973
corpus_decay,30,first_sentence,strict,800,0.4325,0.49573272907217014,0.01752679871915225,0.59,0.49214098939409856,0.017399811545021193,0.6325,0.4824258164064391,0.017056328310022476,0.493733630952381,0.45980311232476706,0.01625649493677613
corpus_decay,35,first_sentence,relaxed_doc,800,0.50875,0.500236177011408,0.017686019647980035,0.6725,0.4695949310299903,0.01660268800710676,0.725,0.44679361081301194,0.015796539599835194,0.5767167658730159,0.44904364537256947,0.015876090334583554
corpus_decay,35,first_sentence,strict,800,0.43375,0.49590153802874426,0.01753276701704818,0.59125,0.49191046683744216,0.01739166134186978,0.6325,0.4824258164064391,0.017056328310022476,0.4945252976190476,0.46001676266727404,0.016264048617075606
corpus_decay,40,first_sentence,relaxed_doc,800,0.50125,0.5003112297943381,0.017688673164567875,0.66625,0.4718466239634253,0.016682297374225847,0.72125,0.44866475522178334,0.015862694544836273,0.5701438492063492,0.44955259294921296,0.01589408434871921
corpus_decay,40,first_sentence,strict,800,0.42625,0.49484039980239664,0.01749525011526685,0.5875,0.492592183071889,0.0174157636504809,0.63,0.4831063440636991,0.017080388596084153,0.4893551587301587,0.45879414586632766,0.016220822585538516
corpus_decay,45,first_sentence,relaxed_doc,800,0.5025,0.5003065393252566,0.017688507331443153,0.665,0.4722857368919683,0.01669782236069982,0.71875,0.44989047478150046,0.01590603027546172,0.5696696428571428,0.4507266931110358,0.015935595058030067
corpus_decay,45,first_sentence,strict,800,0.4275,0.4950253150882516,0.017501787857895502,0.58875,0.49236822662336294,0.017407845594308736,0.6275,0.48377297916399953,0.01710395770608412,0.4893308531746032,0.4595508344018239,0.01624757556527329
corpus_decay,49,first_sentence,relaxed_doc,800,0.5,0.5003127932742599,0.017688728441930625,0.6625,0.47315282096801187,0.01672847841220128,0.7125,0.45287981314742387,0.016011719346952,0.5664930555555556,0.4517551504975865,0.01597195651763964
corpus_decay,49,first_sentence,strict,800,0.425,0.4946522526622412,0.01748859810933361,0.5875,0.492592183071889,0.0174157636504809,0.625,0.48442577906143075,0.017127037667795695,0.48751488095238094,0.4592584275436756,0.016237237421660184
query_construction,0,domain_term,relaxed_doc,41,0.7317073170731707,0.4485749794573054,0.07005564203095158,0.8780487804878049,0.33129457822453967,0.051739520574625435,0.8780487804878049,0.33129457822453967,0.051739520574625435,0.7833333333333333,0.3763863263545405,0.05878166851022119
