extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6500,0.8000,0.1500,1.2308
5,0.6450,0.7913,0.1462,1.2267
10,0.6338,0.7750,0.1412,1.2229
15,0.6300,0.7650,0.1350,1.2143
20,0.6225,0.7537,0.1312,1.2108
25,0.6200,0.7525,0.1325,1.2137
30,0.6138,0.7413,0.1275,1.2077
35,0.6150,0.7413,0.1263,1.2053
40,0.6125,0.7413,0.1288,1.2102
45,0.6138,0.7375,0.1238,1.2016
49,0.6125,0.7375,0.1250,1.2041
