extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.7000,0.8125,0.1125,1.1607
5,0.7000,0.7963,0.0963,1.1375
10,0.7000,0.7888,0.0888,1.1268
15,0.7000,0.7750,0.0750,1.1071
20,0.6962,0.7737,0.0775,1.1113
25,0.6975,0.7638,0.0663,1.0950
30,0.6912,0.7588,0.0675,1.0976
35,0.6937,0.7438,0.0500,1.0721
40,0.6925,0.7425,0.0500,1.0722
45,0.6887,0.7338,0.0450,1.0653
49,0.6875,0.7250,0.0375,1.0545
