scope,extra_docs,query_tag,lang,query,n_trials,pool_docs_mean,pool_chunks_mean,top1_score_mean,top1_score_std,top3_mean_score_mean,top3_mean_score_std,top10_mean_score_mean,top10_mean_score_std,max_score_mean,max_score_std,iaea_purity_topk_mean,iaea_purity_topk_std,first_iaea_rank_mean,first_iaea_rank_std
IAEA_only,0,core_term,en,neutron,1,13.0,5896.0,0.667795717716217,0.0,0.6621002952257792,0.0,0.649073326587677,0.0,0.667795717716217,0.0,1.0,0.0,1.0,0.0
IAEA_only,0,core_term,zh,中子,1,13.0,5896.0,0.5198912024497986,0.0,0.5101060072580973,0.0,0.5001677423715591,0.0,0.5198912024497986,0.0,1.0,0.0,1.0,0.0
IAEA_only,0,phrase,en,neutron measurement current,1,13.0,5896.0,0.6875819563865662,0.0,0.6750429471333822,0.0,0.6569301962852478,0.0,0.6875819563865662,0.0,1.0,0.0,1.0,0.0
IAEA_only,0,phrase,zh,中子测量电流,1,13.0,5896.0,0.5450960993766785,0.0,0.5399880806605021,0.0,0.5351131081581115,0.0,0.5450960993766785,0.0,1.0,0.0,1.0,0.0
IAEA_plus_10,10,core_term,en,neutron,10,23.0,9146.9,0.6677956581115723,0.0,0.6629781126976013,0.0018506436064404533,0.6517098915576935,0.0043506378747951244,0.6677956581115723,0.0,0.85,0.22236106773543887,1.0,0.0
IAEA_plus_10,10,core_term,zh,中子,10,23.0,9146.9,0.5751669764518738,0.03825214741643001,0.569725521405538,0.03780272025307985,0.5633436799049377,0.03791503001705902,0.5751669764518738,0.03825214741643001,0.01,0.03162277660168379,0.3,0.9486832980505139
IAEA_plus_10,10,phrase,en,neutron measurement current,10,23.0,9146.9,0.6875819563865662,0.0,0.6754710058371226,0.0006957367961855155,0.6588361340761184,0.0020274753676801462,0.6875819563865662,0.0,0.89,0.11005049346146119,1.0,0.0
IAEA_plus_10,10,phrase,zh,中子测量电流,10,23.0,9146.9,0.6265341520309449,0.041495230067043996,0.6194582263628642,0.03835293094014555,0.6120835196971893,0.038765289295355616,0.6265341520309449,0.041495230067043996,0.0,0.0,0.0,0.0
IAEA_plus_15,15,core_term,en,neutron,10,28.0,10252.1,0.6677956581115723,0.0,0.6634170313676199,0.002120178602724861,0.653528767824173,0.00453386702700939,0.6677956581115723,0.0,0.7,0.23570226039551584,1.0,0.0
IAEA_plus_15,15,core_term,zh,中子,10,28.0,10252.1,0.6025190591812134,0.0227215268099796,0.599018039306005,0.02336967863609551,0.5924626916646958,0.02443315985037834,0.6025190591812134,0.0227215268099796,0.0,0.0,0.0,0.0
IAEA_plus_15,15,phrase,en,neutron measurement current,10,28.0,10252.1,0.6875819563865662,0.0,0.6763467212518057,0.001749107537559951,0.6620737689733505,0.005050453051092374,0.6875819563865662,0.0,0.75,0.1957890020745122,1.0,0.0
IAEA_plus_15,15,phrase,zh,中子测量电流,10,28.0,10252.1,0.6545561492443085,0.02751209149401041,0.648214864730835,0.027384419029598116,0.6402556574344634,0.029447317121276184,0.6545561492443085,0.02751209149401041,0.0,0.0,0.0,0.0
IAEA_plus_20,20,core_term,en,neutron,10,33.0,11342.6,0.6677956581115723,0.0,0.6625391940275829,0.00138798270483034,0.6521190291643143,0.002815105447365942,0.6677956581115723,0.0,0.73,0.12516655570345728,1.0,0.0
IAEA_plus_20,20,core_term,zh,中子,10,33.0,11342.6,0.6114505648612976,0.006736513602165317,0.6029618481794994,0.017920466685698952,0.5938243854045868,0.02843912949139093,0.6114505648612976,0.006736513602165317,0.0,0.0,0.0,0.0
IAEA_plus_20,20,phrase,en,neutron measurement current,10,33.0,11342.6,0.6875819563865662,0.0,0.6778360148270924,0.002102177296051345,0.666045788526535,0.005625177977092906,0.6875819563865662,0.0,0.6,0.21081851067789195,1.0,0.0
IAEA_plus_20,20,phrase,zh,中子测量电流,10,33.0,11342.6,0.6636652827262879,0.0022739959426170595,0.6528033594290414,0.017714477527257726,0.6446884506940842,0.028766695585886685,0.6636652827262879,0.0022739959426170595,0.0,0.0,0.0,0.0
IAEA_plus_25,25,core_term,en,neutron,10,38.0,13708.3,0.6677956581115723,0.0,0.6647337873776753,0.0022665662657615797,0.6562782371044159,0.004620466708223183,0.6677956581115723,0.0,0.58,0.18135294011647257,1.0,0.0
