extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.8000,0.9000,0.1000,1.1250
5,0.7937,0.8900,0.0963,1.1213
10,0.7750,0.8775,0.1025,1.1323
15,0.7575,0.8562,0.0987,1.1304
20,0.7562,0.8500,0.0938,1.1240
25,0.7463,0.8400,0.0938,1.1256
30,0.7438,0.8300,0.0863,1.1160
35,0.7450,0.8313,0.0863,1.1158
40,0.7400,0.8213,0.0813,1.1098
45,0.7400,0.8162,0.0762,1.1030
49,0.7375,0.8125,0.0750,1.1017
