scope,extra_docs,trial,query_tag,lang,query,pool_docs,pool_chunks,iaea_docs,extra_sampled,top1_score,top3_mean_score,top10_mean_score,max_score,iaea_count_topk,iaea_purity_topk,first_iaea_rank,retrieved_k,top_k
IAEA_only,0,0,core_term,zh,中子,13,10686,13,0,0.5199806690216064,0.5117481549580892,0.5049596846103668,0.5199806690216064,10,1.0,1,10,10
IAEA_only,0,0,core_term,en,neutron,13,10686,13,0,0.6747454404830933,0.6655861536661783,0.6557390749454498,0.6747454404830933,10,1.0,1,10,10
IAEA_only,0,0,phrase,zh,中子测量电流,13,10686,13,0,0.5419148206710815,0.5405622522036234,0.5379410564899445,0.5419148206710815,10,1.0,1,10,10
IAEA_only,0,0,phrase,en,neutron measurement current,13,10686,13,0,0.6875819563865662,0.6847183704376221,0.6623540759086609,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,0,core_term,zh,中子,18,15607,13,5,0.6192349791526794,0.617573102315267,0.6142743706703186,0.6192349791526794,0,0.0,0,10,10
IAEA_plus_5,5,0,core_term,en,neutron,18,15607,13,5,0.6747454404830933,0.6655861536661783,0.6557390749454498,0.6747454404830933,10,1.0,1,10,10
IAEA_plus_5,5,0,phrase,zh,中子测量电流,18,15607,13,5,0.6705702543258667,0.6685227354367574,0.6651813626289368,0.6705702543258667,0,0.0,0,10,10
IAEA_plus_5,5,0,phrase,en,neutron measurement current,18,15607,13,5,0.6875819563865662,0.6847183704376221,0.6623540759086609,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,1,core_term,zh,中子,18,11434,13,5,0.6197844743728638,0.6174492239952087,0.6118631780147552,0.6197844743728638,0,0.0,0,10,10
IAEA_plus_5,5,1,core_term,en,neutron,18,11434,13,5,0.6747454404830933,0.6655861536661783,0.6573566973209382,0.6747454404830933,8,0.8,1,10,10
IAEA_plus_5,5,1,phrase,zh,中子测量电流,18,11434,13,5,0.6654224395751953,0.6634508172671,0.660696679353714,0.6654224395751953,0,0.0,0,10,10
IAEA_plus_5,5,1,phrase,en,neutron measurement current,18,11434,13,5,0.6955769658088684,0.689107616742452,0.6762440741062165,0.6955769658088684,4,0.4,2,10,10
IAEA_plus_5,5,2,core_term,zh,中子,18,11438,13,5,0.5520753264427185,0.5422054926554362,0.5354533195495605,0.5520753264427185,0,0.0,0,10,10
IAEA_plus_5,5,2,core_term,en,neutron,18,11438,13,5,0.6747454404830933,0.6655861536661783,0.6557390749454498,0.6747454404830933,10,1.0,1,10,10
IAEA_plus_5,5,2,phrase,zh,中子测量电流,18,11438,13,5,0.5838939547538757,0.5813960035641988,0.5722773849964142,0.5838939547538757,0,0.0,0,10,10
IAEA_plus_5,5,2,phrase,en,neutron measurement current,18,11438,13,5,0.6875819563865662,0.6847183704376221,0.6623540759086609,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,3,core_term,zh,中子,18,15325,13,5,0.585562527179718,0.5823877255121866,0.5777733564376831,0.585562527179718,0,0.0,0,10,10
IAEA_plus_5,5,3,core_term,en,neutron,18,15325,13,5,0.6747454404830933,0.6655861536661783,0.6557390749454498,0.6747454404830933,10,1.0,1,10,10
IAEA_plus_5,5,3,phrase,zh,中子测量电流,18,15325,13,5,0.6210030317306519,0.6171446641286215,0.6132444143295288,0.6210030317306519,0,0.0,0,10,10
IAEA_plus_5,5,3,phrase,en,neutron measurement current,18,15325,13,5,0.6875819563865662,0.6847183704376221,0.6646406352519989,0.6875819563865662,8,0.8,1,10,10
IAEA_plus_5,5,4,core_term,zh,中子,18,11170,13,5,0.5343033075332642,0.5323356588681539,0.5280250132083892,0.5343033075332642,0,0.0,0,10,10
IAEA_plus_5,5,4,core_term,en,neutron,18,11170,13,5,0.6747454404830933,0.6655861536661783,0.6557390749454498,0.6747454404830933,10,1.0,1,10,10
IAEA_plus_5,5,4,phrase,zh,中子测量电流,18,11170,13,5,0.5778300762176514,0.5717828869819641,0.560852998495102,0.5778300762176514,0,0.0,0,10,10
IAEA_plus_5,5,4,phrase,en,neutron measurement current,18,11170,13,5,0.6875819563865662,0.6847183704376221,0.6623540759086609,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,5,core_term,zh,中子,18,11956,13,5,0.5520753264427185,0.5422055125236511,0.5357107937335968,0.5520753264427185,0,0.0,0,10,10
IAEA_plus_5,5,5,core_term,en,neutron,18,11956,13,5,0.6747454404830933,0.6655861536661783,0.6557390749454498,0.6747454404830933,10,1.0,1,10,10
IAEA_plus_5,5,5,phrase,zh,中子测量电流,18,11956,13,5,0.5838939547538757,0.5813960035641988,0.5732947289943695,0.5838939547538757,0,0.0,0,10,10
IAEA_plus_5,5,5,phrase,en,neutron measurement current,18,11956,13,5,0.6875819563865662,0.6847183704376221,0.6623540759086609,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,6,core_term,zh,中子,18,13894,13,5,0.6197844743728638,0.6174492239952087,0.6118631780147552,0.6197844743728638,0,0.0,0,10,10
IAEA_plus_5,5,6,core_term,en,neutron,18,13894,13,5,0.6747454404830933,0.6655861536661783,0.6557390749454498,0.6747454404830933,10,1.0,1,10,10
IAEA_plus_5,5,6,phrase,zh,中子测量电流,18,13894,13,5,0.6654224395751953,0.6634508172671,0.660696679353714,0.6654224395751953,0,0.0,0,10,10
IAEA_plus_5,5,6,phrase,en,neutron measurement current,18,13894,13,5,0.6875819563865662,0.6847183704376221,0.6623540759086609,0.6875819563865662,10,1.0,1,10,10
IAEA_plus_5,5,7,core_term,zh,中子,18,14984,13,5,0.6122142672538757,0.6104037563006083,0.6086260139942169,0.6122142672538757,0,0.0,0,10,10
