scope,extra_docs,trial,query_tag,lang,query,pool_docs,pool_chunks,iaea_docs,extra_sampled,top1_score,top3_mean_score,top10_mean_score,max_score,iaea_count_topk,iaea_purity_topk,first_iaea_rank,retrieved_k,top_k
IAEA_only,0,0,core_term,zh,中子,13,15796,13,0,0.5201177000999451,0.5182703733444214,0.5101873755455018,0.5201177000999451,10,1.0,1,10,10
IAEA_only,0,0,core_term,en,neutron,13,15796,13,0,0.6899797916412354,0.6735949714978536,0.6544609308242798,0.6899797916412354,10,1.0,1,10,10
IAEA_only,0,0,phrase,zh,中子测量电流,13,15796,13,0,0.5488024353981018,0.5465351541837057,0.5411576807498932,0.5488024353981018,10,1.0,1,10,10
IAEA_only,0,0,phrase,en,neutron measurement current,13,15796,13,0,0.6957577466964722,0.6816319227218628,0.6595528781414032,0.6957577466964722,10,1.0,1,10,10
IAEA_plus_5,5,0,core_term,zh,中子,18,17994,13,5,0.6103138327598572,0.6073058644930521,0.6015254735946656,0.6103138327598572,0,0.0,0,10,10
IAEA_plus_5,5,0,core_term,en,neutron,18,17994,13,5,0.6899797916412354,0.6735949714978536,0.6544609308242798,0.6899797916412354,10,1.0,1,10,10
IAEA_plus_5,5,0,phrase,zh,中子测量电流,18,17994,13,5,0.664697527885437,0.6631498535474142,0.6540940940380097,0.664697527885437,0,0.0,0,10,10
IAEA_plus_5,5,0,phrase,en,neutron measurement current,18,17994,13,5,0.6957577466964722,0.6816319227218628,0.6595528781414032,0.6957577466964722,10,1.0,1,10,10
IAEA_plus_5,5,1,core_term,zh,中子,18,21935,13,5,0.5201177000999451,0.5182703733444214,0.5101873755455018,0.5201177000999451,10,1.0,1,10,10
IAEA_plus_5,5,1,core_term,en,neutron,18,21935,13,5,0.6899797916412354,0.6735949714978536,0.659147995710373,0.6899797916412354,5,0.5,1,10,10
IAEA_plus_5,5,1,phrase,zh,中子测量电流,18,21935,13,5,0.5488024353981018,0.5465351541837057,0.5411576807498932,0.5488024353981018,10,1.0,1,10,10
IAEA_plus_5,5,1,phrase,en,neutron measurement current,18,21935,13,5,0.7035508155822754,0.6991282900174459,0.6779292941093444,0.7035508155822754,4,0.4,3,10,10
IAEA_plus_5,5,2,core_term,zh,中子,18,20932,13,5,0.6089305877685547,0.6050087412198385,0.560515719652176,0.6089305877685547,0,0.0,0,10,10
IAEA_plus_5,5,2,core_term,en,neutron,18,20932,13,5,0.6899797916412354,0.6735949714978536,0.6566121876239777,0.6899797916412354,9,0.9,1,10,10
IAEA_plus_5,5,2,phrase,zh,中子测量电流,18,20932,13,5,0.6693858504295349,0.6599276463190714,0.6121028184890747,0.6693858504295349,0,0.0,0,10,10
IAEA_plus_5,5,2,phrase,en,neutron measurement current,18,20932,13,5,0.6957577466964722,0.6816319227218628,0.6595528781414032,0.6957577466964722,10,1.0,1,10,10
IAEA_plus_5,5,3,core_term,zh,中子,18,19539,13,5,0.5843064188957214,0.5831469297409058,0.5808473408222199,0.5843064188957214,0,0.0,0,10,10
IAEA_plus_5,5,3,core_term,en,neutron,18,19539,13,5,0.6899797916412354,0.6735949714978536,0.6547082722187042,0.6899797916412354,9,0.9,1,10,10
IAEA_plus_5,5,3,phrase,zh,中子测量电流,18,19539,13,5,0.6185203194618225,0.6168049176534017,0.615316641330719,0.6185203194618225,0,0.0,0,10,10
IAEA_plus_5,5,3,phrase,en,neutron measurement current,18,19539,13,5,0.6957577466964722,0.6816319227218628,0.6610686540603637,0.6957577466964722,9,0.9,1,10,10
IAEA_plus_5,5,4,core_term,zh,中子,18,19863,13,5,0.6376688480377197,0.6259249647458395,0.6180998802185058,0.6376688480377197,0,0.0,0,10,10
IAEA_plus_5,5,4,core_term,en,neutron,18,19863,13,5,0.6899797916412354,0.6735949714978536,0.659147995710373,0.6899797916412354,5,0.5,1,10,10
IAEA_plus_5,5,4,phrase,zh,中子测量电流,18,19863,13,5,0.6772618889808655,0.6712039709091187,0.6666333377361298,0.6772618889808655,0,0.0,0,10,10
IAEA_plus_5,5,4,phrase,en,neutron measurement current,18,19863,13,5,0.7035508155822754,0.6991282900174459,0.6779292941093444,0.7035508155822754,4,0.4,3,10,10
IAEA_plus_5,5,5,core_term,zh,中子,18,20964,13,5,0.6089305877685547,0.6050087412198385,0.5675592601299286,0.6089305877685547,0,0.0,0,10,10
IAEA_plus_5,5,5,core_term,en,neutron,18,20964,13,5,0.6899797916412354,0.6735949714978536,0.6544609308242798,0.6899797916412354,10,1.0,1,10,10
IAEA_plus_5,5,5,phrase,zh,中子测量电流,18,20964,13,5,0.6693858504295349,0.6599276463190714,0.6122258186340332,0.6693858504295349,0,0.0,0,10,10
IAEA_plus_5,5,5,phrase,en,neutron measurement current,18,20964,13,5,0.6957577466964722,0.6816319227218628,0.6595528781414032,0.6957577466964722,10,1.0,1,10,10
IAEA_plus_5,5,6,core_term,zh,中子,18,17267,13,5,0.6376688480377197,0.6259249647458395,0.6180998802185058,0.6376688480377197,0,0.0,0,10,10
IAEA_plus_5,5,6,core_term,en,neutron,18,17267,13,5,0.6899797916412354,0.6735949714978536,0.6598576605319977,0.6899797916412354,4,0.4,1,10,10
IAEA_plus_5,5,6,phrase,zh,中子测量电流,18,17267,13,5,0.6772618889808655,0.6701522668202718,0.6656527101993561,0.6772618889808655,0,0.0,0,10,10
IAEA_plus_5,5,6,phrase,en,neutron measurement current,18,17267,13,5,0.6957577466964722,0.6816319227218628,0.6597122430801392,0.6957577466964722,9,0.9,1,10,10
IAEA_plus_5,5,7,core_term,zh,中子,18,19259,13,5,0.5201177000999451,0.5182703733444214,0.5101873755455018,0.5201177000999451,10,1.0,1,10,10
IAEA_plus_5,5,7,core_term,en,neutron,18,19259,13,5,0.6899797916412354,0.6735949714978536,0.6544609308242798,0.6899797916412354,10,1.0,1,10,10
IAEA_plus_5,5,7,phrase,zh,中子测量电流,18,19259,13,5,0.5488024353981018,0.5465351541837057,0.5413864433765412,0.5488024353981018,9,0.9,1,10,10
IAEA_plus_5,5,7,phrase,en,neutron measurement current,18,19259,13,5,0.6957577466964722,0.6816319227218628,0.6595528781414032,0.6957577466964722,10,1.0,1,10,10
IAEA_plus_5,5,8,core_term,zh,中子,18,22327,13,5,0.5525250434875488,0.5500038266181946,0.5452024340629578,0.5525250434875488,0,0.0,0,10,10
IAEA_plus_5,5,8,core_term,en,neutron,18,22327,13,5,0.6899797916412354,0.6735949714978536,0.6573822021484375,0.6899797916412354,6,0.6,1,10,10
IAEA_plus_5,5,8,phrase,zh,中子测量电流,18,22327,13,5,0.5844036936759949,0.581782341003418,0.5793254256248475,0.5844036936759949,0,0.0,0,10,10
IAEA_plus_5,5,8,phrase,en,neutron measurement current,18,22327,13,5,0.7035508155822754,0.6991282900174459,0.6779292941093444,0.7035508155822754,4,0.4,3,10,10
IAEA_plus_5,5,9,core_term,zh,中子,18,17939,13,5,0.5478966236114502,0.5469457308451334,0.5446719944477081,0.5478966236114502,0,0.0,0,10,10
