时间,BL.BL3.3RIC1011MA_VER,BL.BL3.3RIC1012MA_VER,BL.BL3.3RIC1013MA_VER,BL.BL3.3RIC1014MA_VER,BL.BL3.3RIC1015MA_VER,BL.BL3.3RIC1016MA_VER,BL.BL3.3RIC1017MA_VER
2025-01-22 01:00:00,0.3923729956150055,0.6677905321121216,0.746379017829895,0.7765657901763916,0.8067598342895508,0.8030709028244019,0.6969043016433716
2025-01-22 00:59:59,0.3923887014389038,0.6676967144012451,0.7462344169616699,0.7761576175689697,0.8062605857849121,0.8027424216270447,0.69638592004776
2025-01-22 00:59:58,0.39267921447753906,0.6679887771606445,0.7464913725852966,0.7767919898033142,0.806797206401825,0.8030573725700378,0.6969727277755737
2025-01-22 00:59:57,0.39299771189689636,0.6683253049850464,0.7468940019607544,0.7770833373069763,0.8070924282073975,0.8031440377235413,0.6971484422683716
2025-01-22 00:59:56,0.39331620931625366,0.668661892414093,0.7472965717315674,0.7773746848106384,0.8073877096176147,0.8032307028770447,0.6973242163658142
2025-01-22 00:59:55,0.393352210521698,0.6689398288726807,0.7473806738853455,0.7776442766189575,0.8073531985282898,0.8034254908561707,0.6974158883094788
2025-01-22 00:59:54,0.39320075511932373,0.6684649586677551,0.7472203969955444,0.7773969173431396,0.807397723197937,0.8033081293106079,0.6976470947265625
2025-01-22 00:59:53,0.39304929971694946,0.6679900884628296,0.7470601797103882,0.7771496176719666,0.8074421882629395,0.8031908273696899,0.6978783011436462
2025-01-22 00:59:52,0.3931061923503876,0.6680815815925598,0.7469691038131714,0.7770618200302124,0.8072594404220581,0.8031609058380127,0.6977958083152771
2025-01-22 00:59:51,0.39316311478614807,0.6681731343269348,0.7468779683113098,0.7769740223884583,0.8070767521858215,0.8031309247016907,0.6977133750915527
2025-01-22 00:59:50,0.3932200074195862,0.668264627456665,0.746786892414093,0.7768862247467041,0.8068940043449402,0.8031009435653687,0.6976308822631836
2025-01-22 00:59:49,0.3931069076061249,0.6682323813438416,0.7471811175346375,0.7774286866188049,0.8073830008506775,0.8030710220336914,0.6978877782821655
2025-01-22 00:59:48,0.3930993974208832,0.6682522892951965,0.7470870614051819,0.7773770689964294,0.8074197173118591,0.8032282590866089,0.6979337334632874
2025-01-22 00:59:47,0.39309191703796387,0.6682721376419067,0.7469930052757263,0.777325451374054,0.8074564933776855,0.8033854961395264,0.697979748249054
2025-01-22 00:59:46,0.39308440685272217,0.6682920455932617,0.7468989491462708,0.7772737741470337,0.8074932098388672,0.8035427331924438,0.6980257034301758
2025-01-22 00:59:45,0.39307689666748047,0.6683119535446167,0.7468048930168152,0.7772221565246582,0.8075299263000488,0.8037000298500061,0.6980716586112976
2025-01-22 00:59:44,0.39306941628456116,0.6683318018913269,0.7467108368873596,0.7771705389022827,0.8075667023658752,0.8038572669029236,0.6981176733970642
2025-01-22 00:59:43,0.39306190609931946,0.6683517098426819,0.746616780757904,0.7771189212799072,0.8076034188270569,0.8040145039558411,0.698163628578186
2025-01-22 00:59:42,0.39309802651405334,0.6684685945510864,0.7467080950737,0.7772996425628662,0.8075922727584839,0.8037557601928711,0.6981097459793091
2025-01-22 00:59:41,0.3931341767311096,0.668585479259491,0.7467994093894958,0.7774803042411804,0.8075811862945557,0.8034970760345459,0.6980558633804321
2025-01-22 00:59:40,0.3931702971458435,0.6688398122787476,0.7468907237052917,0.7775437235832214,0.8072050213813782,0.8033835291862488,0.6980019807815552
2025-01-22 00:59:39,0.39331454038619995,0.6689836978912354,0.7476861476898193,0.7780170440673828,0.8078031539916992,0.8040536046028137,0.6985107660293579
2025-01-22 00:59:38,0.3934588134288788,0.6691275238990784,0.7484815716743469,0.778490424156189,0.8084012269973755,0.8047236800193787,0.6990194916725159
2025-01-22 00:59:37,0.3932603895664215,0.6689882874488831,0.7476856708526611,0.7781260013580322,0.8077890872955322,0.8044453263282776,0.6983367800712585
2025-01-22 00:59:36,0.39357274770736694,0.6693532466888428,0.7481181621551514,0.7783598899841309,0.8080092072486877,0.8047513961791992,0.6987766027450562
2025-01-22 00:59:35,0.3938851058483124,0.6697182059288025,0.7485505938529968,0.7785937786102295,0.8082293272018433,0.8050574064254761,0.6992164254188538
2025-01-22 00:59:34,0.3929764926433563,0.6683353185653687,0.7470709085464478,0.7771989703178406,0.8073161840438843,0.8037834167480469,0.6983804106712341
2025-01-22 00:59:33,0.3931143879890442,0.668667197227478,0.7474703788757324,0.7776594758033752,0.8076205849647522,0.8041350841522217,0.6985857486724854
2025-01-22 00:59:32,0.39325231313705444,0.6689990758895874,0.7478697896003723,0.7781199812889099,0.8079249858856201,0.8044866919517517,0.6987910270690918
2025-01-22 00:59:31,0.39320310950279236,0.6681159734725952,0.7466641068458557,0.7767497897148132,0.8072565197944641,0.8030146956443787,0.6980394124984741
2025-01-22 00:59:30,0.3931539058685303,0.6682422161102295,0.746789276599884,0.7771080136299133,0.8072335720062256,0.8031443953514099,0.6977375149726868
2025-01-22 00:59:29,0.3933413028717041,0.6688730120658875,0.7474365234375,0.7775591015815735,0.807657778263092,0.8035582900047302,0.6979504227638245
2025-01-22 00:59:28,0.3934808075428009,0.6693949103355408,0.7484381198883057,0.7784212827682495,0.8081293106079102,0.8046783208847046,0.6990525722503662
2025-01-22 00:59:27,0.3933807909488678,0.6693649888038635,0.7479953169822693,0.778016209602356,0.8081740736961365,0.8047968149185181,0.6988804936408997
2025-01-22 00:59:26,0.3932889997959137,0.668850302696228,0.7474877238273621,0.777649998664856,0.807608425617218,0.8036574721336365,0.6977143287658691
2025-01-22 00:59:25,0.393163800239563,0.6686338186264038,0.7472360730171204,0.7774322032928467,0.8073160648345947,0.8034772872924805,0.6976370215415955
2025-01-22 00:59:24,0.3930386006832123,0.6684173941612244,0.7469844222068787,0.7772144079208374,0.8070236444473267,0.8032971024513245,0.6975597143173218
2025-01-22 00:59:23,0.3929134011268616,0.6682009100914001,0.746732771396637,0.7769966125488281,0.8067312836647034,0.8031169176101685,0.6974824070930481
2025-01-22 00:59:22,0.39312484860420227,0.6686647534370422,0.7474697232246399,0.7776992917060852,0.8073384761810303,0.8036412000656128,0.6978008151054382
2025-01-22 00:59:21,0.3933362662792206,0.6691285371780396,0.7482067346572876,0.7784019112586975,0.807945728302002,0.8041655421257019,0.6981192827224731
2025-01-22 00:59:20,0.3935477137565613,0.6695923805236816,0.7489436864852905,0.7791045904159546,0.8085529208183289,0.8046898245811462,0.6984376907348633
2025-01-22 00:59:19,0.39361757040023804,0.669636607170105,0.7488921284675598,0.7789039611816406,0.8086733818054199,0.8045668005943298,0.6983698606491089
