experiment,extra_docs,query_mode,relevance,n_trials,n_probes_per_trial,recall_at_1_mean,recall_at_1_std,recall_at_1_sem,recall_at_5_mean,recall_at_5_std,recall_at_5_sem,recall_at_10_mean,recall_at_10_std,recall_at_10_sem,mrr_mean,mrr_std,mrr_sem,n_probes
corpus_decay,0,first_sentence,relaxed_doc,1,80,0.6875,0.0,0.0,0.8375,0.0,0.0,0.8625,0.0,0.0,0.7513690476190475,0.0,0.0,
corpus_decay,0,first_sentence,strict,1,80,0.5,0.0,0.0,0.6875,0.0,0.0,0.7125,0.0,0.0,0.5694940476190476,0.0,0.0,
corpus_decay,5,first_sentence,relaxed_doc,10,80,0.66125,0.010944937947136404,0.003461093276215861,0.8262499999999999,0.009223309842157785,0.0029166666666666703,0.8550000000000001,0.006454972243679062,0.0020412414523193257,0.7316359126984127,0.007969655892161991,0.0025202264787013155,
corpus_decay,5,first_sentence,strict,10,80,0.5,0.0,0.0,0.68625,0.003952847075210461,0.0012499999999999957,0.7075,0.006454972243679063,0.0020412414523193257,0.5683050595238095,0.001682102819567578,0.0005319276168424794,
corpus_decay,10,first_sentence,relaxed_doc,10,80,0.655,0.010540925533894605,0.0033333333333333353,0.82,0.016873713942763824,0.005335936864527374,0.8474999999999999,0.011486707293408534,0.0036324157862838995,0.7248779761904761,0.008993641855269827,0.002844039272247507,
corpus_decay,10,first_sentence,strict,10,80,0.5,0.0,0.0,0.6849999999999999,0.00527046276694728,0.0016666666666666607,0.70375,0.006038073644245631,0.0019094065395649433,0.5675535714285714,0.001686014750484417,0.0005331646780171236,
corpus_decay,15,first_sentence,relaxed_doc,10,80,0.64625,0.015645819462932153,0.004947642536265798,0.81375,0.014965237496723297,0.004732423621500224,0.8462500000000001,0.010290907529357065,0.0032542706982944414,0.7175749007936508,0.010664198147914172,0.003372315556675799,
corpus_decay,15,first_sentence,strict,10,80,0.5,0.0,0.0,0.6849999999999999,0.00527046276694728,0.0016666666666666607,0.7012499999999999,0.003952847075210496,0.0012500000000000067,0.5658452380952381,0.0026823331169881412,0.0008482282092981415,
corpus_decay,20,first_sentence,relaxed_doc,10,80,0.6425,0.012076147288491204,0.003818813079129868,0.805,0.014672347384715833,0.004639803635691682,0.8387499999999999,0.013756311682682647,0.0043501277120460615,0.7125143849206349,0.00933157127069871,0.0029509019363599585,
corpus_decay,20,first_sentence,strict,10,80,0.5,0.0,0.0,0.6837500000000001,0.0060380736442455785,0.0019094065395649266,0.7012499999999999,0.003952847075210496,0.0012500000000000067,0.5659895833333334,0.0014105149170955886,0.00044604398116656333,
corpus_decay,25,first_sentence,relaxed_doc,10,80,0.64125,0.010290907529357067,0.0032542706982944423,0.8012499999999999,0.016083549221349,0.005086064839889048,0.835,0.015365907428821497,0.004859126579037756,0.7111959325396826,0.010722841767208965,0.0033908602973965335,
corpus_decay,25,first_sentence,strict,10,80,0.5,0.0,0.0,0.6849999999999999,0.00527046276694728,0.0016666666666666607,0.7012499999999999,0.003952847075210496,0.0012500000000000067,0.5651160714285715,0.0014493433083459758,0.000458322596589701,
corpus_decay,30,first_sentence,relaxed_doc,10,80,0.63375,0.01029090752935706,0.00325427069829444,0.79,0.005270462766947327,0.0016666666666666754,0.825,0.013176156917368247,0.004166666666666667,0.7034925595238095,0.006739467255721051,0.002131206674420297,
corpus_decay,30,first_sentence,strict,10,80,0.5,0.0,0.0,0.68,0.006454972243679006,0.002041241452319308,0.7,0.0,0.0,0.5633809523809524,0.002307542668111475,0.0007297090629254254,
corpus_decay,35,first_sentence,relaxed_doc,10,80,0.6287499999999999,0.0060380736442455785,0.0019094065395649266,0.7887500000000001,0.003952847075210496,0.0012500000000000067,0.81875,0.0065880784586841,0.002083333333333326,0.6999494047619048,0.0031637976446083336,0.001000480661283827,
corpus_decay,35,first_sentence,strict,10,80,0.5,0.0,0.0,0.6825,0.006454972243679006,0.002041241452319308,0.7,0.0,0.0,0.5626755952380952,0.0014951848314326153,0.0004728189590261983,
corpus_decay,40,first_sentence,relaxed_doc,10,80,0.6325,0.006454972243679006,0.002041241452319308,0.7899999999999999,0.007905694150420955,0.002500000000000002,0.8175000000000001,0.006454972243679005,0.0020412414523193075,0.7000044642857143,0.004911275671374817,0.0015530817338517042,
corpus_decay,40,first_sentence,strict,10,80,0.5,0.0,0.0,0.67625,0.003952847075210461,0.0012499999999999957,0.7,0.0,0.0,0.5627723214285714,0.0020403016409957014,0.0006452000299325591,
corpus_decay,45,first_sentence,relaxed_doc,10,80,0.6287499999999999,0.0060380736442455785,0.0019094065395649266,0.7887500000000001,0.003952847075210496,0.0012500000000000067,0.8162499999999999,0.0060380736442455785,0.0019094065395649266,0.697844246031746,0.003523104600382645,0.0011141034972226482,
corpus_decay,45,first_sentence,strict,10,80,0.5,0.0,0.0,0.6787500000000001,0.0060380736442455785,0.0019094065395649266,0.7,0.0,0.0,0.5619627976190477,0.0016350917388600944,0.0005170614078123146,
corpus_decay,50,first_sentence,relaxed_doc,10,80,0.62625,0.003952847075210461,0.0012499999999999957,0.7875,0.0,0.0,0.8125,0.0,0.0,0.6947916666666666,0.001976423537605265,0.0006250000000000088,
corpus_decay,50,first_sentence,strict,10,80,0.5,0.0,0.0,0.675,0.0,0.0,0.7,0.0,0.0,0.560625,0.0009882117688026326,0.0003125000000000044,
corpus_decay,51,first_sentence,relaxed_doc,10,80,0.625,0.0,0.0,0.7875,0.0,0.0,0.8125,0.0,0.0,0.6941666666666666,0.0,0.0,
corpus_decay,51,first_sentence,strict,10,80,0.5,0.0,0.0,0.675,0.0,0.0,0.7,0.0,0.0,0.5603125,0.0,0.0,
query_construction,0,domain_term,relaxed_doc,1,,0.6774193548387096,0.4751909633114914,0.08534681648595453,0.8709677419354839,0.3407771005482389,0.06120537406777509,0.8709677419354839,0.3407771005482389,0.06120537406777509,0.739247311827957,0.3965954274753867,0.07123064153415473,31
query_construction,0,domain_term,strict,1,,0.45161290322580644,0.5058794110206737,0.09085862440549511,0.6774193548387096,0.4751909633114914,0.08534681648595453,0.6774193548387096,0.4751909633114914,0.08534681648595453,0.5241935483870968,0.45653361219969374,0.08199585730450053,31
query_construction,0,first_sentence,relaxed_doc,1,,0.6875,0.4664368029425214,0.05214921992935759,0.8375,0.3712363878934856,0.041505489952565686,0.8625,0.34654716375821165,0.03874515077865563,0.7513690476190475,0.38979375799360116,0.04358026700393971,80
query_construction,0,first_sentence,strict,1,,0.5,0.5031546054266276,0.05625439504630119,0.6875,0.4664368029425214,0.05214921992935759,0.7125,0.45545220260830827,0.05092110427670921,0.5694940476190476,0.45224595773800375,0.05056263520258367,80
