model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std,top1_score_mean,top1_score_std
sentence-transformers/all-MiniLM-L6-v2,1200,120,obs_zero_en,neutron current measurement synchronized zero-value dropout across channels,observation_derived,en,10,10,0.5700000000000001,0.1159501808728405,1.1,0.3162277660168379,0.5675708472728729,0.0036211448743258
sentence-transformers/all-MiniLM-L6-v2,1200,120,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,0.4599999999999999,0.2065591117977288,1.2,0.4216370213557839,0.2593086540699005,0.0001427847586174
sentence-transformers/all-MiniLM-L6-v2,1200,120,obs_sync_zh,中子电流测量高同步通道无时间滞后,observation_derived,zh,10,10,0.41,0.2424412872795757,3.7,3.400980250849256,0.3048486620187759,0.022614695436332
sentence-transformers/all-MiniLM-L6-v2,1200,120,obs_zero_zh,中子电流测量跨通道同步零值闪断,observation_derived,zh,10,10,0.49,0.3725288952252936,5.0,4.521553322083512,0.2983058214187622,0.0226878468770116
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_core,neutron,baseline,en,10,10,0.38,0.2573367875415838,1.0,0.0,0.7239671349525452,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_en_phrase,neutron measurement current,baseline,en,10,10,0.76,0.1776388345929897,1.4,0.5163977794943222,0.7620072364807129,0.0059951172769669
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_core,中子,baseline,zh,10,10,0.79,0.417532433869913,3.0,4.216370213557839,0.7798821687698364,0.0181387534782052
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,0.63,0.1636391694484477,2.2,0.9189365834726816,0.6520162880420685,0.0103853637417815
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,0.5900000000000001,0.2766867462592951,3.2,1.8737959096740264,0.6826518714427948,0.0232440638773474
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1200,120,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,10,10,0.93,0.0823272602348564,1.0,0.0,0.7047668695449829,0.0
