series,0_IAEA_only,+5,+10,+15,+20,+25,+30,+35,+40,+45,+50,+51
neutron measurement current(chinese),1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
neutron measurement current(english),1.00,0.80,0.92,0.74,0.58,0.45,0.43,0.46,0.40,0.30,0.30,0.30
neutron(chinese),1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
neutron(english),1.00,0.88,0.86,0.68,0.49,0.49,0.48,0.41,0.38,0.38,0.34,0.30
