model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_en_phrase,neutron measurement current,baseline,en,51,10,64.0,0.7356589436531067,0.0,0.6914354562759399,0.0,0.0,0.0,11.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,0,1,13.0,0.4699205756187439,,0.3883191645145416,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,5,10,18.0,0.4699205756187439,0.0,0.4034308731555939,0.016241469207534054,0.6799999999999999,0.2440400695696417,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,10,10,23.0,0.4699205756187439,0.0,0.40214320421218874,0.014554737029209576,0.7,0.24037008503093266,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,15,10,28.0,0.4699205756187439,0.0,0.4228357285261154,0.01186660670527418,0.4,0.12472191289246473,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,20,10,33.0,0.4699205756187439,0.0,0.42510882019996643,0.012933732467303035,0.41000000000000003,0.14491376746189444,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,25,10,38.0,0.4699205756187439,0.0,0.4293906658887863,0.008062408393650087,0.35,0.05270462766947301,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,30,10,43.0,0.4699205756187439,0.0,0.4265842854976654,0.012611851939905112,0.38,0.10327955589886445,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,35,10,48.0,0.4699205756187439,0.0,0.4327582001686096,0.009505931797452249,0.32999999999999996,0.0674948557710553,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,40,10,53.0,0.4699205756187439,0.0,0.43672861754894254,0.0032123460549669663,0.31,0.031622776601683805,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,45,10,58.0,0.4699205756187439,0.0,0.4359086722135544,0.004021270456384512,0.3,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,50,10,63.0,0.4699205756187439,0.0,0.4382131457328796,0.00015171901571302805,0.3,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_core,中子,baseline,zh,51,10,64.0,0.4699205756187439,0.0,0.43828511238098145,0.0,0.3,0.0,1.0,0.0
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,0,1,13.0,0.6183747053146362,,0.5764946937561035,,1.0,,1.0,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,5,10,18.0,0.6232696533203125,0.01031945648402388,0.5806872010231018,0.006460458802854204,0.86,0.1646545204697129,1.2,0.42163702135578396
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,23.0,0.6238912999629974,0.008102074006849687,0.5885520815849304,0.00986796665558059,0.6799999999999999,0.18135294011647263,1.7,1.2516655570345725
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,15,10,28.0,0.6322609186172485,0.011433489627907583,0.5946907758712768,0.009828665883245026,0.52,0.18135294011647257,2.3,1.2516655570345725
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,20,10,33.0,0.6383241593837738,0.006567277516144862,0.6055048167705536,0.009699906085584865,0.38,0.11352924243950933,3.7,1.6363916944844767
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,25,10,38.0,0.6384081542491913,0.006624769650948814,0.6080570638179779,0.008995324548073648,0.31,0.1286683937707919,4.0,1.6996731711975948
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,baseline_zh_phrase,中子测量电流,baseline,zh,30,10,43.0,0.6390138506889343,0.008317818599049452,0.6097732245922088,0.012578442098051194,0.34,0.1837873166945363,4.6,2.170509412813294
