extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6000,0.7750,0.1750,1.2917
5,0.5975,0.7562,0.1588,1.2657
10,0.5950,0.7425,0.1475,1.2479
15,0.5850,0.7263,0.1413,1.2415
20,0.5800,0.7250,0.1450,1.2500
25,0.5800,0.7250,0.1450,1.2500
30,0.5787,0.7250,0.1462,1.2527
35,0.5775,0.7250,0.1475,1.2554
40,0.5750,0.7250,0.1500,1.2609
45,0.5750,0.7250,0.1500,1.2609
49,0.5750,0.7250,0.1500,1.2609
