series,0_IAEA_only,+5,+10,+15,+20,+25,+30,+35,+40,+45,+49
neutron measurement current(chinese),1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
neutron measurement current(english),1.00,0.92,0.91,0.77,0.61,0.48,0.56,0.52,0.52,0.43,0.40
neutron(chinese),1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
neutron(english),1.00,0.94,0.89,0.74,0.67,0.62,0.61,0.60,0.56,0.52,0.50
