extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.5875,0.7500,0.1625,1.2766
5,0.5875,0.7213,0.1338,1.2277
10,0.5875,0.7000,0.1125,1.1915
15,0.5875,0.6937,0.1062,1.1809
20,0.5875,0.6787,0.0912,1.1553
25,0.5875,0.6713,0.0837,1.1426
30,0.5875,0.6675,0.0800,1.1362
35,0.5875,0.6675,0.0800,1.1362
40,0.5875,0.6562,0.0687,1.1170
45,0.5875,0.6500,0.0625,1.1064
49,0.5875,0.6500,0.0625,1.1064
