experiment,extra_docs,query_mode,relevance,n_probes,recall_at_1_mean,recall_at_1_std,recall_at_1_sem,recall_at_5_mean,recall_at_5_std,recall_at_5_sem,recall_at_10_mean,recall_at_10_std,recall_at_10_sem,mrr_mean,mrr_std,mrr_sem
corpus_decay,0,first_sentence,relaxed_doc,80,0.4625,0.501737487466418,0.056095956441742964,0.6,0.49298881801065664,0.05511782546095504,0.75,0.4357446703305951,0.048717735184622316,0.538531746031746,0.4504760733057607,0.05036475610744297
corpus_decay,0,first_sentence,strict,80,0.325,0.4713299255661338,0.05269628766978956,0.5,0.5031546054266276,0.05625439504630119,0.5875,0.49539014161069383,0.055386301601237926,0.40831349206349205,0.440068659255705,0.049201171843147415
corpus_decay,5,first_sentence,relaxed_doc,800,0.44,0.4966974788358124,0.017560907774153228,0.59,0.49214098939409856,0.017399811545021193,0.72125,0.44866475522178334,0.015862694544836273,0.519061011904762,0.44836187568859864,0.015851986136246398
corpus_decay,5,first_sentence,strict,800,0.3225,0.46772557019182104,0.016536596120849057,0.5,0.5003127932742599,0.017688728441930625,0.5875,0.492592183071889,0.0174157636504809,0.4060079365079365,0.43658837243608273,0.015435729936837603
corpus_decay,10,first_sentence,relaxed_doc,800,0.43375,0.49590153802874426,0.01753276701704818,0.575,0.4946522526622413,0.017488598109333613,0.7,0.45854424926681786,0.016211987406533075,0.5088923611111111,0.4513426473129711,0.015957372327684505
corpus_decay,10,first_sentence,strict,800,0.32375,0.46819862231474135,0.01655332103904764,0.5,0.5003127932742599,0.017688728441930625,0.5875,0.492592183071889,0.0174157636504809,0.4045729166666667,0.4372308797013732,0.015458445999050028
corpus_decay,15,first_sentence,relaxed_doc,800,0.43,0.49538546451027415,0.01751452106282313,0.5725,0.4950253150882516,0.017501787857895502,0.69375,0.4612232063302669,0.016306702841836693,0.5046225198412698,0.4513896190327839,0.01595903302876469
corpus_decay,15,first_sentence,strict,800,0.3225,0.46772557019182104,0.016536596120849057,0.5,0.5003127932742599,0.017688728441930625,0.5875,0.492592183071889,0.0174157636504809,0.4033938492063492,0.43671455958916905,0.0154401913264199
corpus_decay,20,first_sentence,relaxed_doc,800,0.41375,0.4928128632124821,0.017423565871675227,0.57,0.49538546451027415,0.01751452106282313,0.67875,0.46724869092804044,0.016519735892787733,0.49158432539682534,0.4497755458741951,0.01590196692497622
corpus_decay,20,first_sentence,strict,800,0.32,0.46676797279326254,0.016502739940140693,0.49625,0.5002987217790659,0.017688230939446967,0.5875,0.492592183071889,0.0174157636504809,0.4019325396825397,0.4359497264434993,0.015413150391230934
corpus_decay,25,first_sentence,relaxed_doc,800,0.4125,0.492592183071889,0.0174157636504809,0.56375,0.49622952570128487,0.017544363132418136,0.67125,0.4700527890893355,0.016618875734035955,0.48588789682539685,0.451541304520504,0.01596439592061341
corpus_decay,25,first_sentence,strict,800,0.31875,0.4662834039143549,0.016485607843129316,0.4975,0.5003065393252566,0.017688507331443153,0.5875,0.492592183071889,0.0174157636504809,0.3976974206349206,0.43561412425681817,0.015401285062131773
corpus_decay,30,first_sentence,relaxed_doc,800,0.41,0.49214098939409856,0.017399811545021193,0.5625,0.49638871078041025,0.017549991174863798,0.6675,0.47140378329902677,0.01666664059238678,0.4855585317460317,0.4509598441650194,0.015943838192595695
corpus_decay,30,first_sentence,strict,800,0.3175,0.46579497227347144,0.016468339176858575,0.495,0.5002877770091739,0.017687843983396512,0.5875,0.492592183071889,0.0174157636504809,0.3987797619047619,0.4350330993834984,0.015380742730733648
corpus_decay,35,first_sentence,relaxed_doc,800,0.40375,0.4909554297923114,0.017357895683324964,0.55875,0.49684706777936327,0.017566196541971998,0.6675,0.47140378329902677,0.01666664059238678,0.47938740079365083,0.45007041852467033,0.015912392247513098
corpus_decay,35,first_sentence,strict,800,0.315,0.4648064719002959,0.016433390411004684,0.4925,0.5002565049186185,0.01768673834803183,0.5875,0.492592183071889,0.0174157636504809,0.3953601190476191,0.43419773327351824,0.01535120807867663
corpus_decay,40,first_sentence,relaxed_doc,800,0.3925,0.48861250262570305,0.01727506069895822,0.55375,0.4974135229021799,0.017586223754901074,0.65625,0.4752560076853856,0.016802837291699107,0.46873363095238096,0.44875444537991355,0.01586586557078725
corpus_decay,40,first_sentence,strict,800,0.31375,0.46430637839283484,0.01641570943548703,0.49125,0.500236177011408,0.017686019647980035,0.5875,0.492592183071889,0.0174157636504809,0.3938710317460318,0.43380068279046397,0.015337170224224575
corpus_decay,45,first_sentence,relaxed_doc,800,0.39,0.48805506572924734,0.01725535232847985,0.5525,0.49754717513956576,0.017590949075069886,0.65,0.47726798647472896,0.016873971483976513,0.4663258928571429,0.4487612888410606,0.015866107523676443
corpus_decay,45,first_sentence,strict,800,0.3125,0.4638023725693965,0.016397890138711492,0.49,0.5002127207073475,0.017685190342396895,0.5875,0.492592183071889,0.0174157636504809,0.39268353174603177,0.43339564939707825,0.015322850131271073
