extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6625,0.8500,0.1875,1.2830
5,0.6600,0.8400,0.1800,1.2727
10,0.6625,0.8375,0.1750,1.2642
15,0.6588,0.8313,0.1725,1.2619
20,0.6575,0.8313,0.1738,1.2643
25,0.6525,0.8275,0.1750,1.2682
30,0.6562,0.8262,0.1700,1.2590
35,0.6525,0.8250,0.1725,1.2644
40,0.6512,0.8262,0.1750,1.2687
45,0.6500,0.8200,0.1700,1.2615
50,0.6512,0.8137,0.1625,1.2495
51,0.6500,0.8125,0.1625,1.2500
