extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6875,0.8375,0.1500,1.2182
5,0.6875,0.8350,0.1475,1.2145
10,0.6875,0.8225,0.1350,1.1964
15,0.6875,0.8050,0.1175,1.1709
20,0.6875,0.8025,0.1150,1.1673
25,0.6875,0.8012,0.1137,1.1655
30,0.6875,0.7900,0.1025,1.1491
35,0.6875,0.7925,0.1050,1.1527
40,0.6875,0.7875,0.1000,1.1455
45,0.6875,0.7888,0.1013,1.1473
49,0.6875,0.7875,0.1000,1.1455
