experiment,extra_docs,query_mode,relevance,n_trials,n_probes_per_trial,recall_at_1_mean,recall_at_1_std,recall_at_1_sem,recall_at_5_mean,recall_at_5_std,recall_at_5_sem,recall_at_10_mean,recall_at_10_std,recall_at_10_sem,mrr_mean,mrr_std,mrr_sem,n_probes
corpus_decay,0,first_sentence,relaxed_doc,1,80,0.6,0.0,0.0,0.775,0.0,0.0,0.8375,0.0,0.0,0.6653769841269841,0.0,0.0,
corpus_decay,0,first_sentence,strict,1,80,0.5,0.0,0.0,0.6125,0.0,0.0,0.6875,0.0,0.0,0.5610863095238094,0.0,0.0,
corpus_decay,5,first_sentence,relaxed_doc,10,80,0.5974999999999999,0.00527046276694728,0.0016666666666666607,0.765,0.012909944487358058,0.004082482904638631,0.835,0.005270462766947327,0.0016666666666666754,0.6622872023809524,0.0051595771852868,0.0016316015668946893,
corpus_decay,5,first_sentence,strict,10,80,0.5,0.0,0.0,0.6112500000000001,0.003952847075210496,0.0012500000000000067,0.6875,0.0,0.0,0.560327380952381,0.0016929876688232279,0.0005353697084060236,
corpus_decay,10,first_sentence,relaxed_doc,10,80,0.5962500000000001,0.0060380736442455785,0.0019094065395649266,0.755,0.008740073734751231,0.0027638539919628232,0.8225,0.01748014746950253,0.005527707983925667,0.6569965277777777,0.008815420669404876,0.002787680784784562,
corpus_decay,10,first_sentence,strict,10,80,0.5,0.0,0.0,0.6112500000000001,0.003952847075210496,0.0012500000000000067,0.6875,0.0,0.0,0.5587083333333334,0.0034801906864471753,0.0011005329260877958,
corpus_decay,15,first_sentence,relaxed_doc,10,80,0.5925,0.006454972243679006,0.002041241452319308,0.7462500000000001,0.011858541225631403,0.0037499999999999934,0.805,0.01343709624716425,0.004249182927993987,0.6504250992063493,0.007335460414847318,0.0023196762596921147,
corpus_decay,15,first_sentence,strict,10,80,0.5,0.0,0.0,0.60625,0.008838834764831865,0.0027950849718747436,0.6875,0.0,0.0,0.5566071428571429,0.003293986942590107,0.0010416501321439038,
corpus_decay,20,first_sentence,relaxed_doc,10,80,0.595,0.006454972243679006,0.002041241452319308,0.7325,0.01581138830084189,0.0049999999999999975,0.8025,0.016457014715109596,0.005204164998665336,0.6486542658730159,0.00802754467802319,0.00253853252013163,
corpus_decay,20,first_sentence,strict,10,80,0.5,0.0,0.0,0.6,0.011785113019775802,0.0037267799624996524,0.6875,0.0,0.0,0.5549315476190476,0.0037245292711644775,0.0011777995708846642,
corpus_decay,25,first_sentence,relaxed_doc,10,80,0.5925,0.006454972243679006,0.002041241452319308,0.73125,0.015866193970549825,0.005017331074496795,0.8012499999999999,0.009223309842157778,0.002916666666666668,0.6466185515873015,0.006501399304432051,0.0020559229780239717,
corpus_decay,25,first_sentence,strict,10,80,0.5,0.0,0.0,0.6012500000000001,0.010944937947136427,0.003461093276215868,0.6875,0.0,0.0,0.5543407738095238,0.003092653915270556,0.000977983038689235,
corpus_decay,30,first_sentence,relaxed_doc,10,80,0.59375,0.0065880784586841,0.002083333333333326,0.72125,0.01868042647621659,0.005907269532815764,0.79,0.005270462766947327,0.0016666666666666754,0.6443621031746032,0.005815425080873465,0.0018389988817629048,
corpus_decay,30,first_sentence,strict,10,80,0.5,0.0,0.0,0.59375,0.010622957319984975,0.0033592740617910642,0.6875,0.0,0.0,0.5532916666666667,0.0029735007687265776,0.0009403035053437559,
corpus_decay,35,first_sentence,relaxed_doc,10,80,0.5900000000000001,0.00527046276694728,0.0016666666666666607,0.7162499999999999,0.015645819462932184,0.004947642536265807,0.7925,0.006454972243679063,0.0020412414523193257,0.6433859126984126,0.00551046605827023,0.0017425623713184055,
corpus_decay,35,first_sentence,strict,10,80,0.5,0.0,0.0,0.5962500000000001,0.01029090752935706,0.00325427069829444,0.6875,0.0,0.0,0.553483630952381,0.0031108068497203854,0.0009837235005969547,
corpus_decay,40,first_sentence,relaxed_doc,10,80,0.58875,0.003952847075210461,0.0012499999999999957,0.70875,0.010290907529357074,0.0032542706982944445,0.7875,0.0,0.0,0.6393551587301587,0.0029928728514378934,0.0009464294957826487,
corpus_decay,40,first_sentence,strict,10,80,0.5,0.0,0.0,0.5925,0.010540925533894607,0.003333333333333336,0.6875,0.0,0.0,0.5511324404761905,0.0012399493979512286,0.00039210642808804014,
corpus_decay,45,first_sentence,relaxed_doc,10,80,0.58875,0.003952847075210461,0.0012499999999999957,0.7074999999999999,0.010540925533894612,0.003333333333333338,0.7887500000000001,0.003952847075210496,0.0012500000000000067,0.6398273809523809,0.003314268197920422,0.0010480636282090262,
corpus_decay,45,first_sentence,strict,10,80,0.5,0.0,0.0,0.59125,0.008436856971381912,0.002667968432263687,0.6875,0.0,0.0,0.5514657738095239,0.001567809541416605,0.0004957849088220561,
corpus_decay,49,first_sentence,relaxed_doc,10,80,0.5875,0.0,0.0,0.7,0.0,0.0,0.7875,0.0,0.0,0.6380357142857143,0.0,0.0,
corpus_decay,49,first_sentence,strict,10,80,0.5,0.0,0.0,0.5875,0.0,0.0,0.6875,0.0,0.0,0.5505654761904762,0.0,0.0,
query_construction,0,domain_term,relaxed_doc,1,,0.4375,0.5040161287741853,0.08909830562090465,0.625,0.4918693768379647,0.08695104295503155,0.65625,0.48255870443481425,0.08530513305661301,0.5171875,0.45977016961843853,0.08127665118112176,32
query_construction,0,domain_term,strict,1,,0.3125,0.47092907485988494,0.08324928557283298,0.34375,0.48255870443481425,0.08530513305661301,0.53125,0.5070073486774164,0.08962708359030336,0.3560267857142857,0.4518360103573537,0.07987407672698998,32
query_construction,0,first_sentence,relaxed_doc,1,,0.6,0.49298881801065664,0.05511782546095504,0.775,0.4202169421632268,0.04698168239870363,0.8375,0.3712363878934856,0.041505489952565686,0.6653769841269841,0.4261995658580448,0.04765056006197433,80
query_construction,0,first_sentence,strict,1,,0.5,0.5031546054266276,0.05625439504630119,0.6125,0.4902530991904312,0.05481196279848756,0.6875,0.4664368029425214,0.05214921992935759,0.5610863095238094,0.4614503457598321,0.05159171706798832,80
query_construction,0,random_window,relaxed_doc,1,,0.6,0.49298881801065664,0.05511782546095504,0.875,0.33280548924392167,0.037208784861724194,0.875,0.33280548924392167,0.037208784861724194,0.7095833333333333,0.38255539297202845,0.042770993192230045,80
query_construction,0,random_window,strict,1,,0.475,0.5025252685881778,0.05618403304872527,0.65,0.4799789024899355,0.05366327268666194,0.6875,0.4664368029425214,0.05214921992935759,0.548764880952381,0.4550102615207031,0.05087169376101245,80
query_construction,0,title,relaxed_doc,1,,0.6125,0.4902530991904312,0.05481196279848756,0.75,0.4357446703305951,0.048717735184622316,0.925,0.2650531353464094,0.02963384141420118,0.7088541666666667,0.38818780831617633,0.04340071637158142,80
