model,chunk_size,chunk_overlap,query_id,query,family,language,extra_docs,n_trials,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,5,10,0.2632147967815399,0.0,0.2197966381907463,0.007582450660894223,0.6799999999999999,0.20976176963403034,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,10,10,0.2632147967815399,0.0,0.22663501501083375,0.006159367543143003,0.47000000000000003,0.14944341180973258,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,15,10,0.2632147967815399,0.0,0.23333570957183838,0.004837489993509404,0.33999999999999997,0.1577621275493231,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,20,10,0.2632147967815399,0.0,0.2372327908873558,0.005458886669365162,0.28,0.09189365834726813,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,25,10,0.2632147967815399,0.0,0.23686062246561052,0.005869483968497249,0.26,0.08432740427115679,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,30,10,0.2632147967815399,0.0,0.23739772140979767,0.003864392652633192,0.24,0.0699205898780101,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,35,10,0.2632147967815399,0.0,0.24370358288288116,0.0025375318960359034,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,40,10,0.2632147967815399,0.0,0.24614559710025788,0.0005839871360950758,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,45,10,0.2632147967815399,0.0,0.24505783915519713,0.0020706347352039455,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,50,10,0.2632147967815399,0.0,0.24586381763219833,0.0015457450504494246,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_core,中子,baseline,zh,51,10,0.2632147967815399,0.0,0.24661190807819366,0.0,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,0,1,0.2653745412826538,,0.22143296897411346,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,5,10,0.26944291591644287,0.00854358466403458,0.22930057048797609,0.007338347255629981,0.71,0.23781411975649294,1.3,0.48304589153964794
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,0.26744040846824646,0.006399550402474523,0.23519282191991805,0.007282758937993588,0.5,0.21081851067789195,1.4,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,15,10,0.2694936037063599,0.008516974884244197,0.2411452516913414,0.004094582076119111,0.4,0.0,1.8,0.6324555320336759
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,20,10,0.27754164934158326,0.010471779307497734,0.2431901589035988,0.006169068636166058,0.4,0.0,1.9,0.8755950357709131
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,25,10,0.2714961111545563,0.009769375719225782,0.24619054198265075,0.0029248336207464126,0.4,0.0,1.7,0.6749485577105528
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,30,10,0.2816100239753723,0.00852350952182517,0.24963822364807128,0.0024329297671446992,0.39,0.031622776601683805,2.5,0.7071067811865476
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,35,10,0.2816100239753723,0.008523509521825175,0.24958883076906205,0.003259050483699639,0.38,0.04216370213557841,2.5,0.7071067811865476
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,40,10,0.2796075165271759,0.009734241277964774,0.2501551568508148,0.0023477208534469704,0.37,0.04830458915396483,2.4,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,45,10,0.2796075165271759,0.009734241277964779,0.2508427321910858,0.002662018832096733,0.36,0.05163977794943225,2.6,0.5163977794943222
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,50,10,0.2856530547142029,0.0,0.2532164454460144,0.0,0.3,0.0,3.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,baseline_zh_phrase,中子测量电流,baseline,zh,51,10,0.2856530547142029,0.0,0.2532164454460144,0.0,0.3,0.0,3.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,0,1,0.583065390586853,,0.5324676632881165,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,5,10,0.5834966123104095,0.0013636637660481377,0.5369557559490203,0.006862361589127466,0.8400000000000001,0.23664319132398462,1.1,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,10,10,0.583065390586853,0.0,0.5397028386592865,0.004601569119621345,0.77,0.1494434118097326,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,15,10,0.584359073638916,0.00208302761084499,0.5466704964637756,0.009544028099799656,0.52,0.23475755815545346,1.3,0.4830458915396479
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,20,10,0.583065390586853,0.0,0.5471975147724152,0.0055716205750325895,0.36,0.19550504398153573,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,25,10,0.584359073638916,0.0020830276108449947,0.5527165055274963,0.007037255916037797,0.33,0.10593499054713804,1.3,0.48304589153964794
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,30,10,0.585221529006958,0.0022727694527095816,0.5556543171405792,0.006918570557078362,0.28,0.09189365834726815,1.5,0.5270462766947299
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,35,10,0.586515212059021,0.001818215562167662,0.5598738729953766,0.0043969127221131004,0.22000000000000003,0.06324555320336758,1.8,0.4216370213557839
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,40,10,0.586515212059021,0.001818215562167656,0.5621557414531708,0.004610490101717151,0.2,0.0,1.8,0.4216370213557839
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,45,10,0.587377667427063,0.0,0.5642126321792602,0.00227715871189301,0.2,0.0,2.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,50,10,0.586946439743042,0.0013636616716257493,0.5646478235721588,0.003076004402346482,0.2,0.0,1.9,0.31622776601683794
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,51,10,0.587377667427063,0.0,0.5656205415725708,0.0,0.2,0.0,2.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,0,1,0.2574586570262909,,0.21937799453735352,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,5,10,0.2662743806838989,0.015590058889314423,0.2278078928589821,0.008577042443734978,0.71,0.22335820757001276,1.5,0.7071067811865476
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,10,10,0.271828231215477,0.0194327379027357,0.23649360686540605,0.01179817253236783,0.47000000000000003,0.1888562063228706,2.0,1.247219128924647
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,15,10,0.2741289258003235,0.013124671352956994,0.24275510907173156,0.007928484117168559,0.32999999999999996,0.12516655570345725,2.8,1.1352924243950933
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,20,10,0.2889391750097275,0.018869725219437965,0.24945834875106812,0.008124797807764308,0.29,0.08755950357709132,3.7,1.5670212364724212
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,25,10,0.2860939621925354,0.017584553524138104,0.2508430302143097,0.006725118928377966,0.27999999999999997,0.06324555320336758,3.9,1.1972189997378648
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,30,10,0.3002069711685181,0.01226497578548165,0.2596707850694656,0.0048000657247449985,0.16,0.08432740427115677,5.1,0.8755950357709131
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,35,10,0.3002069711685181,0.012264975785481646,0.26139402091503144,0.004760564987716371,0.16,0.08432740427115677,6.4,1.2649110640673518
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,40,10,0.3002069711685181,0.012264975785481646,0.2632496118545532,0.003473010265602713,0.12000000000000002,0.0421637021355784,6.6,0.9660917830792959
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,45,10,0.3060247600078583,0.0,0.26465163826942445,0.00324729855080934,0.13,0.04830458915396481,7.1,0.9944289260117531
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,50,10,0.30311586558818815,0.009198731839111228,0.2663433015346527,0.00252773524376169,0.1,0.0,7.7,0.6749485577105528
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_spike_zh,中子电流测量重复尖峰事件,observation_derived,zh,51,10,0.3060247600078583,0.0,0.2672361433506012,0.0,0.1,0.0,8.0,0.0
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,0,1,0.5496401190757751,,0.5007099509239197,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,5,10,0.5548263370990754,0.01640026139584474,0.5095022320747375,0.012526983560882238,0.78,0.22997584414213787,1.3,0.9486832980505138
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,10,10,0.5548263370990754,0.016400261395844724,0.5130378723144531,0.01180914224521366,0.64,0.21705094128132943,1.3,0.9486832980505138
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,15,10,0.575571209192276,0.027333768993074572,0.5294742405414581,0.015419485449816856,0.35,0.1649915822768611,2.5,1.5811388300841898
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,20,10,0.5807574272155762,0.02678151471205642,0.5344034731388092,0.016999128784270495,0.3,0.14907119849998599,2.8,1.5491933384829668
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,25,10,0.575571209192276,0.02733376899307457,0.5319915115833282,0.015602094722421396,0.27999999999999997,0.10327955589886444,2.5,1.5811388300841898
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,30,10,0.5807574272155762,0.026781514712056427,0.5353454709053039,0.01298896035952026,0.27,0.10593499054713801,2.8,1.5491933384829668
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,35,10,0.5859436452388763,0.025051813087840224,0.5385645687580108,0.013644497598652513,0.24,0.06992058987801011,3.1,1.4491376746189437
sentence-transformers/all-MiniLM-L6-v2,800,80,obs_sync_en,neutron current measurement highly synchronized channels without time lag,observation_derived,en,40,10,0.5963160812854766,0.016400261395844735,0.545636647939682,0.00717968139776536,0.21000000000000002,0.03162277660168379,3.7,0.9486832980505138
