extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.7625,0.8625,0.1000,1.1311
5,0.7512,0.8425,0.0913,1.1215
10,0.7475,0.8287,0.0813,1.1087
15,0.7425,0.8162,0.0737,1.0993
20,0.7425,0.8150,0.0725,1.0976
25,0.7413,0.8050,0.0637,1.0860
30,0.7338,0.7963,0.0625,1.0852
35,0.7300,0.7888,0.0588,1.0805
40,0.7288,0.7850,0.0563,1.0772
45,0.7288,0.7825,0.0537,1.0738
50,0.7250,0.7750,0.0500,1.0690
51,0.7250,0.7750,0.0500,1.0690
