experiment,extra_docs,query_mode,relevance,n_probes,recall_at_1_mean,recall_at_1_std,recall_at_1_sem,recall_at_5_mean,recall_at_5_std,recall_at_5_sem,recall_at_10_mean,recall_at_10_std,recall_at_10_sem,mrr_mean,mrr_std,mrr_sem
corpus_decay,0,first_sentence,relaxed_doc,80,0.6625,0.47584036255125667,0.053200569855137755,0.8125,0.39277493797177815,0.04391357305815796,0.8625,0.34654716375821165,0.03874515077865563,0.7351388888888889,0.3935344140635631,0.04399848506658381
corpus_decay,0,first_sentence,strict,80,0.5625,0.49920823386588253,0.055813177292586294,0.725,0.4493314302129501,0.050236781119167954,0.7625,0.4282360049661484,0.04787824087586227,0.6378125,0.4368909136690235,0.04884588908579643
corpus_decay,5,first_sentence,relaxed_doc,800,0.63625,0.48137884716002677,0.01701931235733088,0.8075,0.39451019995982417,0.013948041881942624,0.8425,0.36449941670869135,0.01288700046466284,0.7149250992063492,0.3996048798634432,0.014128166017333816
corpus_decay,5,first_sentence,strict,800,0.54375,0.4983938533341895,0.01762088366971495,0.7175,0.450496874898002,0.015927469757186247,0.75125,0.43255903834281983,0.015293271463786985,0.6230466269841269,0.43666242347002066,0.015438348036250172
corpus_decay,10,first_sentence,relaxed_doc,800,0.62125,0.48537915968943907,0.017160744763151523,0.80125,0.39930908727949077,0.014117708170236944,0.82875,0.3769629475555751,0.0133276528236308,0.7029439484126984,0.4041605314782595,0.014289232624811818
corpus_decay,10,first_sentence,strict,800,0.53375,0.49917171695094537,0.017648385301627267,0.71125,0.4534649662261607,0.01603240763245235,0.7475,0.4347182708015743,0.015369611859474155,0.6154236111111111,0.43727439584501554,0.015459984527063058
corpus_decay,15,first_sentence,relaxed_doc,800,0.6075,0.4886125026257031,0.01727506069895822,0.79625,0.4030372020456561,0.014249516931846803,0.81625,0.38752245685664494,0.013700987855270247,0.6914131944444445,0.4085210406887329,0.014443399906419426
corpus_decay,15,first_sentence,strict,800,0.5275,0.4995554970353873,0.01766195397663693,0.705,0.4563280553698699,0.016133633119885266,0.7425,0.43753061755907674,0.015469043332638054,0.6089513888888889,0.4388295675347938,0.015514968149450635
corpus_decay,20,first_sentence,relaxed_doc,800,0.60625,0.4888861826893154,0.01728473675040101,0.7925,0.4057703315330491,0.014346147651566629,0.815,0.3885404800413832,0.013736980410136924,0.689890376984127,0.40951906471951693,0.014478685384417152
corpus_decay,20,first_sentence,strict,800,0.52625,0.49962282394598395,0.017664334342388892,0.7,0.45854424926681786,0.016211987406533075,0.7425,0.43753061755907674,0.015469043332638054,0.608282738095238,0.43894821667236633,0.01551916302993861
corpus_decay,25,first_sentence,relaxed_doc,800,0.5975,0.4907084097804791,0.017349162207052196,0.78875,0.40845070384544546,0.014440913123476637,0.805,0.3964485645457844,0.014016573419099843,0.6816369047619049,0.4129729858664327,0.01460079993765054
corpus_decay,25,first_sentence,strict,800,0.52125,0.4998607440621017,0.017672746088763267,0.69625,0.46016369455034994,0.01626924344362038,0.74125,0.43822195929347124,0.015493485954063435,0.6041473214285714,0.4391897666610641,0.015527703111688794
corpus_decay,30,first_sentence,relaxed_doc,800,0.59,0.49214098939409856,0.017399811545021193,0.78375,0.4119442438912017,0.014564428416311686,0.79625,0.4030372020456561,0.014249516931846803,0.6756354166666667,0.4151787871457283,0.014678786789777534
corpus_decay,30,first_sentence,strict,800,0.515,0.5000876018378079,0.017680766722341604,0.69375,0.4612232063302669,0.016306702841836693,0.73375,0.44227304270708356,0.015636713381709317,0.5987777777777779,0.44032543126827434,0.015567854918934391
corpus_decay,35,first_sentence,relaxed_doc,800,0.58125,0.49366290759273795,0.01745361947895465,0.77875,0.415348143248679,0.014684774432219123,0.78875,0.40845070384544546,0.014440913123476637,0.6693869047619048,0.4164344133591894,0.01472317988028623
corpus_decay,35,first_sentence,strict,800,0.51125,0.5001861355663169,0.01768425041572182,0.69,0.4627825727456105,0.016361834770168896,0.73,0.4442371926732303,0.0157061565697258,0.5956264880952381,0.44079446169373465,0.01558443764865568
corpus_decay,40,first_sentence,relaxed_doc,800,0.575,0.4946522526622413,0.017488598109333613,0.78,0.4145054504594309,0.014654980742932405,0.785,0.41107935096643905,0.014533849833706688,0.6658348214285713,0.41653106355723507,0.014726596980808287
