extra_docs,recall10_strict,recall10_relaxed_doc,gap_relaxed_minus_strict,ratio_relaxed_over_strict
0,0.6250,0.8500,0.2250,1.3600
5,0.6238,0.8300,0.2063,1.3307
10,0.6175,0.8200,0.2025,1.3279
15,0.6163,0.8200,0.2037,1.3306
20,0.6088,0.8137,0.2050,1.3368
25,0.6138,0.8137,0.2000,1.3259
30,0.6050,0.8050,0.2000,1.3306
35,0.6025,0.8025,0.2000,1.3320
40,0.6000,0.8000,0.2000,1.3333
45,0.6000,0.8000,0.2000,1.3333
50,0.6000,0.8000,0.2000,1.3333
51,0.6000,0.8000,0.2000,1.3333
