model,query_id,query,family,language,extra_docs,n_trials,pool_docs,top1_score_mean,top1_score_std,top10_mean_score_mean,top10_mean_score_std,iaea_priority_top10_mean,iaea_priority_top10_std,first_iaea_rank_mean,first_iaea_rank_std
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,5,10,18.0,0.2950652241706848,0.0,0.1962764546275139,0.006554226024562747,0.6900000000000001,0.1523883926754995,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,10,10,23.0,0.2950652241706848,0.0,0.19612034261226655,0.007293995588309289,0.6900000000000001,0.1728840330651992,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,15,10,28.0,0.2950652241706848,0.0,0.20566093176603317,0.008663897792809756,0.61,0.1286683937707919,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,20,10,33.0,0.2950652241706848,0.0,0.2039187952876091,0.0073419200245094145,0.53,0.09486832980505137,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,25,10,38.0,0.2950652241706848,0.0,0.2100029021501541,0.003920560353528355,0.51,0.031622776601683805,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,30,10,43.0,0.2950652241706848,0.0,0.21163237392902373,0.0057909075735879095,0.53,0.09486832980505139,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,35,10,48.0,0.2950652241706848,0.0,0.2137820079922676,0.0038137272363491935,0.5,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,40,10,53.0,0.2950652241706848,0.0,0.21368220150470735,0.004325101527213699,0.5,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,45,10,58.0,0.2950652241706848,0.0,0.21615986824035643,0.002304416249484411,0.5,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,50,10,63.0,0.2950652241706848,0.0,0.21768497228622435,0.0015563230828122647,0.5,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_core,中子,baseline,zh,51,10,64.0,0.2950652241706848,0.0,0.21817712485790253,0.0,0.5,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,0,1,13.0,0.26858365535736084,,0.15301677584648132,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,5,10,18.0,0.26858365535736084,0.0,0.16148110032081603,0.013886175009151876,0.72,0.23944379994757292,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,10,10,23.0,0.26858365535736084,0.0,0.1830831676721573,0.020366409777998473,0.37,0.28303906287138375,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,15,10,28.0,0.26858365535736084,0.0,0.19079285711050034,0.015770982877675727,0.24000000000000005,0.08432740427115679,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,20,10,33.0,0.26858365535736084,0.0,0.20042533427476883,0.016410401206064382,0.23000000000000004,0.0674948557710553,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,25,10,38.0,0.26858365535736084,0.0,0.20192680209875108,0.013341920955423065,0.21000000000000002,0.03162277660168379,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,30,10,43.0,0.26858365535736084,0.0,0.20425156950950624,0.010237139384148611,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,35,10,48.0,0.26858365535736084,0.0,0.2023434042930603,0.01383029163985482,0.21000000000000002,0.03162277660168379,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,40,10,53.0,0.26858365535736084,0.0,0.21005339324474334,0.012936206292704299,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,45,10,58.0,0.26858365535736084,0.0,0.21587046086788178,0.004521912130589398,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,50,10,63.0,0.26858365535736084,0.0,0.21714622974395753,0.00048757671423694794,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,baseline_zh_phrase,中子测量电流,baseline,zh,51,10,64.0,0.26858365535736084,0.0,0.2173004150390625,0.0,0.2,0.0,1.0,0.0
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,0,1,13.0,0.5255295038223267,,0.49352508783340454,,1.0,,1.0,
sentence-transformers/all-MiniLM-L6-v2,obs_spike_en,neutron current measurement repeated spike events,observation_derived,en,5,10,18.0,0.5362577855587005,0.019514598539172773,0.5034189730882644,0.01521404507720712,0.73,0.279085809185793,2.1,2.078995483935023
